=== name ===
Glimmering Gold Kaleidoscope
Ruby Red Kaleidoscope
Vibrant Violet Kaleidoscope
Glimmering Gold Spiral
Ruby Red Spiral
Vibrant Violet Spiral
Glimmering Gold Willow
Ruby Red Willow
Vibrant Violet Willow
Glimmering Gold Crackle
Ruby Red Crackle
Vibrant Violet Crackle
Glimmering Gold Heart
Ruby Red Heart
Vibrant Violet Heart
Glimmering Gold Star
Ruby Red Star
Vibrant Violet Star
Glimmering Gold Palm
Ruby Red Palm
Vibrant Violet Palm
Glimmering Gold Cascade
Ruby Red Cascade
Vibrant Violet Cascade
