sn	name	des
2001	Fateful Encounter	Enter the Velvet Room for the first time. 
2002	Summoned by Desire	Enter Mementos for the first time. 
2003	Resist!	Reunite with the voice from your dream. 
2004	A Long Day	After awakening your power	 return home to Zoshigaya. 
2005	Stadium of Glory	Infiltrate the first Palace. 
2006	Crossroads of Fate	Explore the Palace and witness Motoha's encounter with Kiuchi. 
2007	Renewed Vigor	Witness the first Phantom Thief's awakening. 
2008	Social Media	Exchange contact info. 
2009	The Fallen Prodigy	View all of the first Palace ruler's memories. 
2010	First Target Down	Change the first Palace ruler's heart. 
2011	Disastrous Dinner	Get ramen from Victory Kitchen. 
2012	Katana-Tongued Food Critic	Infiltrate the second Palace. 
2013	Unyielding Belief	Witness the second Phantom Thief's awakening. 
2014	Smug Little Rats	Open the large door and explore the second Palace. 
2015	Katana Tongue Cut Down	Change the second Palace ruler's heart. 
2101	Hidden Legend	Clear the mission Treasure Tail. 
2103	Solitary Gourmand	Visit the international restaurant	 eel shop	 and western-style restaurant. 
2107	Intersecting Beliefs	Begin the event Crossroads of Fate: Castle Arc. 
2108	Castle Conqueror	Clear the event Crossroads of Fate: Castle Arc. 
3001	Considerate	Ask for backup support from Support Phantom Thieves 250 times. 
3002	Decisive Strike	Deal over 10	000 damage during battle. 
3003	Devastating Strike	Deal over 50	000 damage during battle. 
3004	Ultimate Strike	Deal over 100	000 damage during battle. 
3005	Coordinated Attack	End a battle with an All-Out Attack. 
3006	Unified Attack	End 10 battles with an All-Out Attack. 
3007	Exemplary Teamwork	End 100 battles with an All-Out Attack. 
3008	From the Shadows	Start a battle with an ambush. 
3009	Striking Distance	Start 20 battles with an ambush. 
3010	Unstoppable Flash	Start 100 battles with an ambush. 
3011	Outstanding Insight	Hit an enemy's weakness 20 times. 
3012	Reliable Insight	Hit an enemy's weakness 50 times. 
3013	Masterful Insight	Hit an enemy's weakness 100 times. 
3014	Thou Art I	When you win a battle	 recruit a Shadow as your Persona. 
3015	My Turn	Perform a 1 More attack 20 times. 
3016	My Turn Again	Perform a 1 More attack 100 times. 
3017	It's Always My Turn	Perform a 1 More attack 500 times. 
3018	Watch This!	Use a Highlight 10 times. 
3019	Look Over Here!	Use a Highlight 100 times. 
3020	I'm the Star!	Use a Highlight 500 times. 
3021	Time to Get Serious	Deal 100 Down Point damage. 
3022	Weapons Dealer	Fire off 100 rounds of ammo. 
3023	Sword Dance	Defeat 10 enemies with melee attacks. 
3024	Not Even a Scratch	Heal 500 times. 
3025	Elemental Aptitude	Inflict elemental ailments 50 times. 
3026	Master Hypnotist	Inflict spiritual ailments 10 times. 
3027	Knock 'Em Down	Defeat 20 enemies with Physical damage. 
3028	Perfect Aim	Defeat 20 enemies with Gun damage. 
3029	Like a Raging Fire	Defeat 20 enemies with Fire damage. 
3030	Frigid Days	Defeat 20 enemies with Ice damage. 
3031	Rushing Breeze	Defeat 20 enemies with Wind damage. 
3032	Rolling Thunder	Defeat 20 enemies with Electric damage. 
3033	Total Concentration	Defeat 20 enemies with Psychokinesis damage. 
3034	Chain Reaction	Defeat 20 enemies with Nuclear damage. 
3035	Merciful Judgment	Defeat 20 enemies with Bless damage. 
3036	No Mercy	Defeat 20 enemies with Curse damage. 
3037	Certain Victory	Defeat 20 enemies with Almighty damage. 
3038	Chain Reaction	Perform 25 Nuclear attacks on enemies with an elemental ailment. 
3039	Nightmare Whisper	Perform 5 Psychokinesis attacks on enemies with a spiritual ailment. 
3040	Requiem	Defeat 10 enemies with insta-kill attacks. 
3041	Life's Blessing	Grant Blessing 20 times in one battle. 
3042	Death's Curse	Inflict Curse 20 times in one battle. 
3043	Master of Foresight	Guard 50 times. 
3044	Hat Trick	Defeat 3 enemies using 3 different Personas in a single battle. 
4001	Captain's Charge	Obtain the Phantom Thief Ryuji Sakamoto. 
4002	I Love Treasure	Obtain the Phantom Thief Morgana. 
4003	Shy Desperado	Obtain the Phantom Thief Shun Kano. 
4004	The Thieves' Ace	Obtain the Phantom Thief Motoha Arai. 
4005	Adjudicator of Justice	Obtain the Phantom Idol Yukimi Fujikawa. 
4006	Elegant Fencer	Obtain the Phantom Idol Seiji Shiratori. 
4008	Rose of Beauty	 Rose of Thorns	Obtain the Phantom Thief Ann Takamaki. 
4009	Ice Princess	Obtain the Phantom Idol Kotone Montagne. 
4010	The Trickster	Obtain the Phantom Thief Ren Amamiya. 
4011	Étrangère	Obtain the Phantom Idol Yaoling Li. 
4012	Game Face	Obtain the Phantom Idol Tomoko Noge. 
4013	Chosen One	Obtain the Phantom Idol Kiyoshi Kurotani. 
4014	Wicked!	Obtain the Phantom Idol Kayo Tomiyama. 
4015	Hero of Justice	Obtain the Phantom Idol Leo Kamiyama. 
4016	The Fish Whisperer	Obtain the Phantom Idol Toshiya Sumi. 
4017	Mermaid Dreamer	Obtain the Phantom Idol Miyu Sahara. 
4018	Overflowing Curiosity	Obtain the Phantom Idol Haruna Nishimori. 
4019	Rookie Thief	Raise any Phantom Thief to level 20. 
4020	Seasoned Thief	Raise any Phantom Thief to level 40. 
4021	Pro Thief	Raise any Phantom Thief to level 60. 
4022	Practiced Thief	Raise any Phantom Thief to level 70. 
4023	Lifetime Thief	Raise any Phantom Thief to level 80. 
4024	Bud of Awakening	Advance any Phantom Thief's Hidden Ability one time. 
4025	Heart's Fulfillment	Advance any Phantom Thief's Hidden Ability two times. 
4026	Power of Inspiration	Advance any Phantom Thief's Hidden Ability 3 times. 
4027	Infinite Ability	Advance any Phantom Thief's Hidden Ability 4 times. 
4028	Intense Desire	Advance any Phantom Thief's Hidden Ability 5 times. 
4029	New Self	Advance any Phantom Thief's Hidden Ability 6 times. 
4030	Overcoming the Self	Advance any Phantom Thief's Hidden Ability 7 times. 
4031	A Single Seed Is Mighty	Raise any Phantom Thief's skill to level 2. 
4032	Gentle Rain's Influence	Raise any Phantom Thief's skill to level 3. 
4033	Steady Progress	Raise any Phantom Thief's skill to level 5. 
4034	Make Hay while the Sun Shines	Raise any Phantom Thief's skill to level 7. 
4035	Wholehearted Devotion	Raise any Phantom Thief's skill to level 9. 
4036	From Coal to Diamonds	Raise any Phantom Thief's skill to level 10. 
4037	Rumored Weapon	Obtain a 4★ weapon. 
4038	Legendary Weapon	Obtain a 5★ weapon. 
4039	Well-Acquainted Weapon	Upgrade any weapon to level 20. 
4040	Favored Weapon	Upgrade any weapon to level 40. 
4041	Shining Weapon	Upgrade any weapon to level 60. 
4042	Peerless Weapon	Upgrade any weapon to level 80. 
4043	Novice Weaponsmith	Own any forged level 1 weapon. 
4044	Practiced Weaponsmith	Own any forged level 2 weapon. 
4045	Expert Weaponsmith	Own any forged level 3 weapon. 
4046	Master Weaponsmith	Own any forged level 4 weapon. 
4047	Preeminent Weaponsmith	Own any forged level 5 weapon. 
4048	Patron Saint of Weapons	Own any forged level 6 weapon. 
4049	Heaven's First Decree	Obtain 1 purple-rarity Revelation Card. 
4050	Oracle from Heaven	Obtain 1 orange-rarity Revelation Card. 
4051	The Guided One	Obtain 5 orange-rarity Revelation Cards. 
4052	The Path to Nirvana	Activate a 4-piece Revelation Set Effect once. 
4053	Universal Links	Activate a 4-piece Revelation Set Effect 5 times. 
5001	The Power of Persona	Raise any Persona to level 20. 
5002	Reliable Personas	Raise 3 Personas to level 20. 
5003	Thriving Personas	Raise 3 Personas to level 40. 
5004	Unbeatable Personas	Raise 3 Personas to level 60. 
5005	Transcended Personas	Raise 3 Personas to level 80. 
5006	Exceptional Personas	Raise 3 Personas to level 99. 
5007	Powerful Manifestations	Obtain 10 different Personas. 
5008	Many Facades	Obtain 50 different Personas. 
5009	OP	Obtain 100 different Personas. 
5010	Someone Within	Obtain Personas from wandering Shadows or the Realm of Repression 50 times. 
5011	Who's Next?	Obtain Personas from wandering Shadows or the Realm of Repression 100 times. 
5012	Today with You	Obtain Personas from wandering Shadows or the Realm of Repression 200 times. 
5013	Beginner Fusion	Fuse Personas once. 
5014	Intermediate Fusion	Fuse Personas 50 times. 
5015	Expert Fusion	Fuse Personas 100 times. 
5016	Fuel to the Fire	Obtain a 4★ Persona through fusion. 
5017	Favorable Operation	Obtain a 5★ Persona through fusion. 
5018	Optimal Operation	Obtain 3 Personas of 5★ rarity through fusion. 
5019	Mining Complete	Obtain 10 Personas of 5★ rarity through fusion. 
5020	New Masks	Own 3 Rank 2 Personas. 
5021	Mask Enthusiast	Own 3 Rank 3 Personas. 
5022	Mask Seeker	Own 3 Rank 4 Personas. 
5023	Masks Cultivator	Own 3 Rank 5 Personas. 
5024	Masks of Radiance	Own 3 Rank 6 Personas. 
5025	Masks of Desire	Own 3 Rank 7 Personas. 
5026	The Masquerade	Own a Rank 8 Persona. 
5027	Last Survivor	Obtain a Persona with S-rank survivability. 
5028	Damage Dealer	Obtain a Persona with S-rank single-target damage. 
5029	Bombardier	Obtain a Persona with S-rank multi-target damage. 
5030	Super Supporter	Obtain an S-rank support Persona. 
5031	Bearer of Healing	Obtain a Persona with S-rank healing abilities. 
5032	How Are You Feeling?	Obtain a Persona with S-rank status ailment abilities. 
5033	Useful Mask	Have any Persona learn 10 skills. 
5034	Invaluable Mask	Have any Persona learn 15 skills. 
5035	Omnipotent Mask	Have any Persona learn 20 skills. 
5036	Experienced Trainer	Perform Persona skill training 10 times. 
5037	Professional Trainer	Perform Persona skill training 100 times. 
5038	Master Trainer	Perform Persona skill training 500 times. 
6001	Hello	 Woof!	Interact with the Buchiko Statue. 
6002	That's Off Limits	Try to go up to the second floor of the café. 
6003	Hello from the Shadows	Investigate a certain building in Yongen-Jaya. 
6005	Calming Scenery	Go to the Zoshigaya sightseeing platform. 
6006	Click!	Use the ID Photo Booth. 
6007	Phone Booth Pursuer	Enter 3 phone booths in Shibuya. 
6008	A Relaxing Beverage	Savor some coffee at the coffee chain. 
6009	After School Activities	Complete 10 City Life activities. 
6010	School-Life Balance	Complete 50 City Life activities. 
6011	A Second Life	Complete 100 City Life activities. 
6012	After School Part-Timer	Work a part-time job 10 times. 
6013	Professional Part-Timer	Work a part-time job 50 times. 
6014	City Insider	Experience 20 days of City Life. 
6015	Bonus Time	Complete a City Life activity with a multiplier applied once. 
6016	Bonus Hunter	Complete a City Life activity with a multiplier applied 10 times. 
6017	Bonus Mania	Complete a City Life activity with a multiplier applied 50 times. 
6018	Double Work	Work 2 unique part-time jobs. 
