sn	plotName	unlockText
101	The Majesty of Swimsuits	AAAAAA==
102	Beach Volleyball	AAAAAA==
103	Risk of Heatstroke	Unlocked a new conversation with <color=#FFF100>Motoha Arai</color> on the beach. You can now invite <color=#FFF100>Motoha Arai</color> to the fireworks festival.
111	Choice Paralysis	AAAAAA==
112	Lookout Partner	AAAAAA==
113	First-Time Floater	Unlocked a new conversation with <color=#FFF100>Riko Tanemura</color> on the beach. You can now invite <color=#FFF100>Riko Tanemura</color> to the fireworks festival.
121	Sweet Temptation	AAAAAA==
122	Trendsetter	AAAAAA==
123	Beach Bird	Unlocked a new conversation with <color=#FFF100>Lufel</color> on the beach. You can now invite <color=#FFF100>Lufel</color> to the fireworks festival.
131	Sales Girl	AAAAAA==
132	The Importance of Sunscreen	AAAAAA==
133	Beach Surprise	Unlocked a new conversation with <color=#FFF100>Tomoko Noge</color> on the beach. You can now invite <color=#FFF100>Tomoko Noge</color> to the fireworks festival.
141	Swimsuit Observer	AAAAAA==
142	Banana Boat Fun	AAAAAA==
143	Sandcastles?	Unlocked a new conversation with <color=#FFF100>Merope</color> on the beach. You can now invite <color=#FFF100>Merope</color> to the fireworks festival.
151	Precious Goods	AAAAAA==
152	Multiplayer Game	AAAAAA==
153	Pursuer of Ramen	Unlocked a new conversation with <color=#FFF100>Shun Kano</color> on the beach. You can now invite <color=#FFF100>Shun Kano</color> to the fireworks festival.
