sn	missionContent
101	First-Share Event
102	Invite a friend
103	Invite 2 friends
104	Invite 3 friends
105	Invite 4 friends
106	Invite 5 friends
201	Log in for 1 day
202	Log in for 3 days
203	Log in for 7 days
204	Use 240 stamina
205	Use 480 stamina
206	Use 720 stamina
301	Log in for 1 day
302	Log in for 3 days
303	Log in for 7 days
304	Gain 1 Phantom Pass level
305	Gain 3 Phantom Pass levels
306	Gain 5 Phantom Pass levels
401	First-Share Event
402	Invite a friend
403	Invite 2 friends
404	Invite 3 friends
405	Invite 4 friends
406	Invite 5 friends
501	Log in for 1 day
502	Log in for 3 days
503	Log in for 7 days
504	Use 240 stamina
505	Use 480 stamina
506	Use 720 stamina
601	Log in for 1 day
602	Log in for 3 days
603	Log in for 7 days
604	Gain 1 Phantom Pass level
605	Gain 3 Phantom Pass levels
606	Gain 5 Phantom Pass levels
