sn	goalDesc
1	Destroy 10 targets
2	Achieve a 30-hit combo
3	Score 500 or more
4	Get 80 points in 10 seconds
5	Don't let 100 targets escape
101	Destroy 30 targets
102	Achieve a 20-hit combo
103	Score 300 or more
201	Destroy 35 targets
202	Achieve a 25-hit combo
203	Score 400 or more
301	Destroy 40 targets
302	Achieve a 30-hit combo
303	Score 500 or more
401	Destroy 45 targets
402	Achieve a 35-hit combo
403	Score 600 or more
501	Destroy 50 targets
502	Achieve a 40-hit combo
503	Score 700 or more
601	Destroy 60 targets
602	Achieve a 45-hit combo
603	Score 800 or more
701	Destroy 70 targets
702	Get 150 points in 10 seconds
703	Score 800 or more
801	Destroy 80 targets
802	Get 200 points in 15 seconds
803	Score 900 or more
901	Destroy 90 targets
902	Get 300 points in 20 seconds
903	Achieve a 50-hit combo
1001	Destroy 100 targets
1002	Get 400 points in 20 seconds
1003	Score 1000 or more
1101	Destroy 110 targets
1102	Get 500 points in 25 seconds
1103	Score 1200 or more
1201	Destroy 120 targets
1202	Achieve a 60-hit combo
1203	Score 1300 or more
1301	Destroy 130 targets
1302	Achieve a 70-hit combo
1303	Score 1500 or more
1401	Destroy 140 targets
1402	Achieve a 80-hit combo
1403	Get 500 points in 20 seconds
1501	Destroy 150 targets
1502	Achieve a 90-hit combo
1503	Get 600 points in 25 seconds
1601	Destroy 160 targets
1602	Achieve a 100-hit combo
1603	Get 700 points in 30 seconds
