sn	skillDesc
1	Unlimited ammo for 6 s. Charge 30 s.
2	Unlimited ammo for 7 s. Charge 25 s.
3	Unlimited ammo for 8 s. Charge 20 s.
4	Unlimited ammo for 9 s. Charge 15 s.
5	Unlimited ammo for 10 s. Charge 10 s.
6	Unbreakable combo for 5 s. Charge 30 s.
7	Unbreakable combo for 8 s. Charge 25 s.
8	Unbreakable combo for 10 s. Charge 20 s.
9	Unbreakable combo for 13 s. Charge 15 s.
10	Unbreakable combo for 15 s. Charge 15 s.
11	2x score for 6 s. Charge 30 s.
12	2x score for 7 s. Charge 25 s.
13	2x score for 8 s. Charge 20 s.
14	2x score for 9 s. Charge 15 s.
15	2x score for 10 s. Charge 10 s.
16	Light damage to all targets. Charge 15 s.
17	Medium damage to all targets. Charge 15 s.
18	Heavy damage to all targets. Charge 10 s.
19	Heavy damage to all targets. Charge 10 s.
20	Severe damage to all targets. Charge 5 s.
21	Countdown and targets pause for 3 s. Charge 30 s.
22	Countdown and targets pause for 4 s. Charge 25 s.
23	Countdown and targets pause for 5 s. Charge 20 s.
24	Countdown and targets pause for 6 s. Charge 15 s.
25	Countdown and targets pause for 7 s. Charge 10 s.
26	2x damage for 5 s. Charge 30 s.
27	3x damage for 8 s. Charge 25 s.
28	4x damage for 10 s. Charge 20 s.
29	5x damage for 13 s. Charge 15 s.
30	6x damage for 15 s. Charge 15 s.
