sn	desc	attrDesc
110	St	AAAAAA==
120	Ma	AAAAAA==
130	Str	AAAAAA==
150	Lu	AAAAAA==
210	Current HP	AAAAAA==
220	Current SP	AAAAAA==
230	Current Down Points	AAAAAA==
960	Defense Down Points	AAAAAA==
970	Skill Down Points	AAAAAA==
240	HP	AAAAAA==
250	SP	AAAAAA==
260	Attack	AAAAAA==
270	Defense	AAAAAA==
280	Crit Rate	AAAAAA==
290	Crit Mult.	AAAAAA==
300	Ailment Acc.	A higher status ailment accuracy increases the chance of inflicting status ailments (and some special effects) on foes.
310	Ailment Resist.	A higher status ailment resistance decreases the chance of being inflicted with a status ailment (and some special effects).
320	Down Points	AAAAAA==
330	Accuracy	AAAAAA==
340	Speed	• Speed determines the action order in battle.
• Skill accuracy changes based on the difference from the target's speed.
• If Speed is the same	 action order will follow party's formation order.
350	Ambush	AAAAAA==
360	SP Recovery	A higher SP recovery rate increases the amount of SP that is restored each turn.
370	Pierce Rate	A higher pierce rate increases the percentage of Defense that is ignored when dealing damage to foes.
380	AAAAAA==	AAAAAA==
410	Attack Mult. +	AAAAAA==
420	Damage Taken	AAAAAA==
430	Physical Mult. +	AAAAAA==
440	Gun Mult. +	AAAAAA==
450	Fire Mult. +	AAAAAA==
460	Ice Mult. +	AAAAAA==
470	Electric Mult. +	AAAAAA==
480	Wind Mult. +	AAAAAA==
490	Psy Mult. +	AAAAAA==
500	Nuclear Mult. +	AAAAAA==
510	Bless Mult. +	AAAAAA==
520	Curse Mult. +	AAAAAA==
530	Almighty Mult. +	AAAAAA==
540	Physical Damage Taken	AAAAAA==
550	Gun Damage Taken	AAAAAA==
560	Fire Damage Taken	AAAAAA==
570	Ice Damage Taken	AAAAAA==
580	Electric Damage Taken	AAAAAA==
590	Wind Damage Taken	AAAAAA==
600	Psychokinetic Damage Taken	AAAAAA==
610	Nuclear Damage Taken	AAAAAA==
620	Bless Damage Taken	AAAAAA==
630	Curse Damage Taken	AAAAAA==
640	Almighty Damage Taken	AAAAAA==
650	Critical Hit Taken	AAAAAA==
660	Critical Resistance	AAAAAA==
670	HP Recovery	AAAAAA==
680	HP Recovery Taken	AAAAAA==
690	Shield	AAAAAA==
700	Shield Received	AAAAAA==
710	Skill Custom Parameter 1	AAAAAA==
720	Skill Custom Parameter 2	AAAAAA==
730	Skill Custom Parameter 3	AAAAAA==
740	Skill Custom Parameter 4	AAAAAA==
750	Skill Custom Parameter 5	AAAAAA==
760	Skill Custom Parameter 6	AAAAAA==
770	Skill Custom Parameter 7	AAAAAA==
780	Skill Custom Parameter 8	AAAAAA==
790	Skill Custom Parameter 9	AAAAAA==
800	Skill Custom Parameter 10	AAAAAA==
810	Weakness Mult. +	AAAAAA==
820	Weak Attack Down	AAAAAA==
830	Pierce Resistance	AAAAAA==
840	Strong Attack Down	AAAAAA==
850	Damage Down	AAAAAA==
860	All-Out Attack Damage Taken	AAAAAA==
870	One More Damage Taken	AAAAAA==
880	Highlight Damage Taken	AAAAAA==
910	Weapon Skill Parameter 1	AAAAAA==
920	Weapon Skill Parameter 2	AAAAAA==
930	Weapon Skill Parameter 3	AAAAAA==
940	Weapon Skill Parameter 4	AAAAAA==
950	Weapon Skill Parameter 5	AAAAAA==
980	Current Progress	AAAAAA==
990	Progress Cap	AAAAAA==
1000	Play Custom Parameter 1	AAAAAA==
1010	Play Custom Parameter 2	AAAAAA==
1020	Play Custom Parameter 3	AAAAAA==
1030	Play Custom Parameter 4	AAAAAA==
1040	Play Custom Parameter 5	AAAAAA==
1050	Play Custom Parameter 6	AAAAAA==
1060	Play Custom Parameter 7	AAAAAA==
1070	Play Custom Parameter 8	AAAAAA==
1080	Play Custom Parameter 9	AAAAAA==
1090	Play Custom Parameter 10	AAAAAA==
1110	Final Mult. +	AAAAAA==
1120	Final Damage Taken	AAAAAA==
1130	Highlight Gauge Recovery Rate	Set at 100% by default. (Highlight Gauge Recovery = Highlight Gauge Base Recovery Rate x Highlight Gauge Recovery Rate)
1140	Oracle Progress Gauge	AAAAAA==
1150	Hidden Ability Skill Parameter 1	AAAAAA==
1160	Hidden Ability Skill Parameter 2	AAAAAA==
1170	Hidden Ability Skill Parameter 3	AAAAAA==
1180	Hidden Ability Skill Parameter 4	AAAAAA==
1190	Hidden Ability Skill Parameter 5	AAAAAA==
1200	AAAAAA==	AAAAAA==
1210	AAAAAA==	AAAAAA==
