sn	name
220121	Futility: Sun
220122	Futility: Moon
220123	Futility: Star
220124	Futility: Sky
220131	Futility: Sun
220132	Futility: Moon
220133	Futility: Star
220134	Futility: Sky
220141	Futility: Sun
220142	Futility: Moon
220143	Futility: Star
220144	Futility: Sky
220151	Futility: Sun
220152	Futility: Moon
220153	Futility: Star
220154	Futility: Sky
220221	Love: Sun
220222	Love: Moon
220223	Love: Star
220224	Love: Sky
220231	Love: Sun
220232	Love: Moon
220233	Love: Star
220234	Love: Sky
220241	Love: Sun
220242	Love: Moon
220243	Love: Star
220244	Love: Sky
220251	Love: Sun
220252	Love: Moon
220253	Love: Star
220254	Love: Sky
220321	Oppression: Sun
220322	Oppression: Moon
220323	Oppression: Star
220324	Oppression: Sky
220331	Oppression: Sun
220332	Oppression: Moon
220333	Oppression: Star
220334	Oppression: Sky
220341	Oppression: Sun
220342	Oppression: Moon
220343	Oppression: Star
220344	Oppression: Sky
220351	Oppression: Sun
220352	Oppression: Moon
220353	Oppression: Star
220354	Oppression: Sky
220421	Valor: Sun
220422	Valor: Moon
220423	Valor: Star
220424	Valor: Sky
220431	Valor: Sun
220432	Valor: Moon
220433	Valor: Star
220434	Valor: Sky
220441	Valor: Sun
220442	Valor: Moon
220443	Valor: Star
220444	Valor: Sky
220451	Valor: Sun
220452	Valor: Moon
220453	Valor: Star
220454	Valor: Sky
220521	Works: Sun
220522	Works: Moon
220523	Works: Star
220524	Works: Sky
220531	Works: Sun
220532	Works: Moon
220533	Works: Star
220534	Works: Sky
220541	Works: Sun
220542	Works: Moon
220543	Works: Star
220544	Works: Sky
220551	Works: Sun
220552	Works: Moon
220553	Works: Star
220554	Works: Sky
220621	Dominion: Sun
220622	Dominion: Moon
220623	Dominion: Star
220624	Dominion: Sky
220631	Dominion: Sun
220632	Dominion: Moon
220633	Dominion: Star
220634	Dominion: Sky
220641	Dominion: Sun
220642	Dominion: Moon
220643	Dominion: Star
220644	Dominion: Sky
220651	Dominion: Sun
220652	Dominion: Moon
220653	Dominion: Star
220654	Dominion: Sky
220721	Sorrow: Sun
220722	Sorrow: Moon
220723	Sorrow: Star
220724	Sorrow: Sky
220731	Sorrow: Sun
220732	Sorrow: Moon
220733	Sorrow: Star
220734	Sorrow: Sky
220741	Sorrow: Sun
220742	Sorrow: Moon
220743	Sorrow: Star
220744	Sorrow: Sky
220751	Sorrow: Sun
220752	Sorrow: Moon
220753	Sorrow: Star
220754	Sorrow: Sky
220821	Strife: Sun
220822	Strife: Moon
220823	Strife: Star
220824	Strife: Sky
220831	Strife: Sun
220832	Strife: Moon
220833	Strife: Star
220834	Strife: Sky
220841	Strife: Sun
220842	Strife: Moon
220843	Strife: Star
220844	Strife: Sky
220851	Strife: Sun
220852	Strife: Moon
220853	Strife: Star
220854	Strife: Sky
220921	Completion: Sun
220922	Completion: Moon
220923	Completion: Star
220924	Completion: Sky
220931	Completion: Sun
220932	Completion: Moon
220933	Completion: Star
220934	Completion: Sky
220941	Completion: Sun
220942	Completion: Moon
220943	Completion: Star
220944	Completion: Sky
220951	Completion: Sun
220952	Completion: Moon
220953	Completion: Star
220954	Completion: Sky
221021	Virtue: Sun
221022	Virtue: Moon
221023	Virtue: Star
221024	Virtue: Sky
221031	Virtue: Sun
221032	Virtue: Moon
221033	Virtue: Star
221034	Virtue: Sky
221041	Virtue: Sun
221042	Virtue: Moon
221043	Virtue: Star
221044	Virtue: Sky
221051	Virtue: Sun
221052	Virtue: Moon
221053	Virtue: Star
221054	Virtue: Sky
221121	Reconciliation: Sun
221122	Reconciliation: Moon
221123	Reconciliation: Star
221124	Reconciliation: Sky
221131	Reconciliation: Sun
221132	Reconciliation: Moon
221133	Reconciliation: Star
221134	Reconciliation: Sky
221141	Reconciliation: Sun
221142	Reconciliation: Moon
221143	Reconciliation: Star
221144	Reconciliation: Sky
221151	Reconciliation: Sun
221152	Reconciliation: Moon
221153	Reconciliation: Star
221154	Reconciliation: Sky
221221	Peace: Sun
221222	Peace: Moon
221223	Peace: Star
221224	Peace: Sky
221231	Peace: Sun
221232	Peace: Moon
221233	Peace: Star
221234	Peace: Sky
221241	Peace: Sun
221242	Peace: Moon
221243	Peace: Star
221244	Peace: Sky
