sn	title	details
GOLD_1	Pursuit of Treasure	Beat the Pursuit of Treasure
GOLD_2	Pursuit of Treasure	Pick up the scattered Gold Coins
GOLD_3	Pursuit of Treasure	Open the treasure
TRAP_1	Pursuit of Parts	Beat the Pursuit of Parts
TRAP_2	Pursuit of Parts	Pick up the scattered rewards
TRAP_3	Pursuit of Parts	Open the Treasure
2D_1	Pursuit of Honor	Beat the Pursuit of Honor
2D_2	Pursuit of Honor	Pick up the scattered rewards
2D_3	Pursuit of Honor	Open the treasure
COMBAT_1	Realm of Repression	Defeat the guardian
COMBAT_2	Realm of Repression	Repair the damaged cube
SINGLE_1	King's Castle	Obtain points and rank up
SINGLE_2	King's Castle	Successfully repair the puzzle cube
