sn	challengeName
101	Northern Dig Site
102	Eastern Construction Site
103	Western Work Site
104	Control Center
105	Control Center
201	Northern Dig Site
202	Eastern Construction Site
203	Western Work Site
204	Control Center
211	Northern Dig Site
212	Eastern Construction Site
213	Western Work Site
214	Control Center
221	Northern Dig Site
222	Eastern Construction Site
223	Western Work Site
224	Control Center
311	Northern Dig Site
312	Eastern Construction Site
313	Western Work Site
314	Control Center
321	Northern Dig Site
322	Eastern Construction Site
323	Western Work Site
324	Control Center
331	Northern Dig Site
332	Eastern Construction Site
333	Western Work Site
334	Control Center
411	Northern Dig Site
412	Eastern Construction Site
413	Western Work Site
414	Control Center
421	Northern Dig Site
422	Eastern Construction Site
423	Western Work Site
424	Control Center
431	Northern Dig Site
432	Eastern Construction Site
433	Western Work Site
434	Control Center
441	Northern Dig Site
442	Eastern Construction Site
443	Western Work Site
444	Control Center
511	Northern Dig Site
512	Eastern Construction Site
513	Western Work Site
514	Control Center
521	Northern Dig Site
522	Eastern Construction Site
523	Western Work Site
524	Control Center
531	Northern Dig Site
532	Eastern Construction Site
533	Western Work Site
534	Control Center
541	Northern Dig Site
542	Eastern Construction Site
543	Western Work Site
544	Control Center
551	Northern Dig Site
552	Eastern Construction Site
553	Western Work Site
554	Control Center
611	Northern Dig Site
612	Eastern Construction Site
613	Western Work Site
614	Control Center
621	Northern Dig Site
622	Eastern Construction Site
623	Western Work Site
624	Control Center
631	Northern Dig Site
632	Eastern Construction Site
633	Western Work Site
634	Control Center
641	Northern Dig Site
642	Eastern Construction Site
643	Western Work Site
644	Control Center
651	Northern Dig Site
652	Eastern Construction Site
653	Western Work Site
654	Control Center
661	Northern Dig Site
662	Eastern Construction Site
663	Western Work Site
664	Control Center
711	Northern Dig Site
712	Eastern Construction Site
713	Western Work Site
714	Control Center
721	Northern Dig Site
722	Eastern Construction Site
723	Western Work Site
724	Control Center
731	Northern Dig Site
732	Eastern Construction Site
733	Western Work Site
734	Control Center
741	Northern Dig Site
742	Eastern Construction Site
743	Western Work Site
744	Control Center
751	Northern Dig Site
752	Eastern Construction Site
753	Western Work Site
754	Control Center
761	Northern Dig Site
762	Eastern Construction Site
763	Western Work Site
764	Control Center
771	Northern Dig Site
772	Eastern Construction Site
773	Western Work Site
774	Control Center
781	Northern Dig Site
782	Eastern Construction Site
783	Western Work Site
784	Control Center
811	Northern Dig Site
812	Eastern Construction Site
813	Western Work Site
814	Control Center
815	Control Center
821	Northern Dig Site
822	Eastern Construction Site
823	Western Work Site
824	Control Center
825	Control Center
831	Northern Dig Site
832	Eastern Construction Site
833	Western Work Site
834	Control Center
835	Control Center
841	Northern Dig Site
842	Eastern Construction Site
843	Western Work Site
844	Control Center
845	Control Center
851	Northern Dig Site
852	Eastern Construction Site
853	Western Work Site
854	Control Center
855	Control Center
861	Northern Dig Site
862	Eastern Construction Site
863	Western Work Site
864	Control Center
865	Control Center
871	Northern Dig Site
872	Eastern Construction Site
873	Western Work Site
874	Control Center
875	Control Center
881	Northern Dig Site
882	Eastern Construction Site
883	Western Work Site
884	Control Center
885	Control Center
