sn	desc	name
1000	Phantom Idol EXP Credit	Pursuit of Honor
1100	Weapon EXP	Pursuit of Parts
1200	Persona EXP	Pursuit of Persona
1300	TONS OF KONPAKU GEMS	Pursuit of Treasure
1400	Skill Level Up	Enlightenment
1500	Hidden Ability Level-Up Materials - Beginner	The Scent of New Leaves
1600	Weapon Overclock Materials - Beginner	Gear Forging
1801	Words of Life	Words of Harmony
1802	Words of Bonds	Words of Life
1803	Words of Feuds	Words of Bonds
1804	Words of Ruling	Words of Feuds
1805	Words of Nature	Words of Ruling
1806	Words of Serenity	Words of Pleasure
