sn	kefu_desc
0	AAAAAA==
12008	If you encounter a problem with the game	 please contact support.
12009	AAAAAA==
13009	AAAAAA==
14009	AAAAAA==
24011	AAAAAA==
24111	AAAAAA==
22004	AAAAAA==
23000	AAAAAA==
32004	AAAAAA==
32001	AAAAAA==
32015	AAAAAA==
33000	AAAAAA==
34011	AAAAAA==
34111	AAAAAA==
42004	AAAAAA==
43000	AAAAAA==
44011	AAAAAA==
44049	AAAAAA==
44111	AAAAAA==
52000	AAAAAA==
52004	AAAAAA==
53000	AAAAAA==
54011	AAAAAA==
54049	AAAAAA==
54111	AAAAAA==
54000	AAAAAA==
62000	Error: tnxotb-[ChannelSetting_kefu_desc_62000]
62004	Error: tnxotb-[ChannelSetting_kefu_desc_62004]
63000	Error: tnxotb-[ChannelSetting_kefu_desc_63000]
64011	Error: tnxotb-[ChannelSetting_kefu_desc_64011]
64049	Error: tnxotb-[ChannelSetting_kefu_desc_64049]
64111	Error: tnxotb-[ChannelSetting_kefu_desc_64111]
64000	Error: tnxotb-[ChannelSetting_kefu_desc_64000]
