sn	name	lockDesc
1	Ryuji Transformation Tile	• Available upon obtaining Ryuji.
2	Morgana Transformation Tile	• Available upon obtaining Morgana.
6	Ren Transformation Tile	• Available upon obtaining Ren.
7	Ann Transformation Tile	• Available upon obtaining Ann.
11	Shun Transformation Tile	• Available upon obtaining Shun.
12	Yaoling Transformation Tile	• Available upon obtaining Yaoling.
13	Lufel Transformation Tile	• Available upon obtaining Lufel.
15	Motoha Transformation Tile	• Available upon obtaining Motoha.
16	Tomoko Transformation Tile	• Available upon obtaining Tomoko.
18	Haruna Transformation Tile	• Available upon obtaining Haruna.
24	Kotone Transformation Tile	• Available upon obtaining Kotone.
25	Miyu Transformation Tile	• Available upon obtaining Miyu.
26	Kurotani Transformation Tile	• Available upon obtaining Kurotani.
27	Yukimi Transformation Tile	• Available upon obtaining Yukimi.
28	Shiratori Transformation Tile	• Available upon obtaining Shiratori.
29	Sumi Transformation Tile	• Available upon obtaining Sumi.
30	Kamiyama Transformation Tile	• Available upon obtaining Kamiyama.
31	Tomiyama Transformation Tile	• Available upon obtaining Tomiyama.
