sn	face_name
1	Stare
3	Let's Go
4	Welcome
5	Texting
6	Angry
7	Tease
8	Puzzled
10	Looking Sharp
11	Eat Up
12	Last Words?
13	Happy
14	Home Run
15	Tea Time
16	No Words
20	OK
21	Love You
22	Transform
23	Elegant Entrance
24	Hungry
25	Yummy
26	Shocked
27	Selfie
28	For You
29	Cooking
30	Acceptable
31	Bath Time
32	I Got This
33	Big Fan
39	Dream Team
40	This Way
41	Get In
42	Whoa
43	What to Do
44	Pet
45	Great Job
46	Blow a Kiss
47	Pose
48	Fist of Justice
49	Game On
50	My Name Is
52	Take Your Meds
53	Which One?
54	Lucky
55	Showtime
56	High Five
57	Cheers
58	Squabble
59	Chit Chat
61	Under Control
62	Teach Me
63	Thank You
65	Thumbs Up
67	Strange Alert
68	Calling Card
69	Take Your Heart
70	Surprise
71	Take a Look
72	Thou Art I
101	Keep Going
102	Special Treat
104	Handshake
105	Good Song
106	Cheer On
107	Caught
108	Victory
109	Work Out
110	Sparkle
111	Tired
112	Flustered
113	Teary-Eyed
114	Whisper
115	Excited
116	Chow Down
117	Overwhelmed
118	Confused
119	Panic
120	Bleh!
121	Giggle
122	Shopping
123	I'll Teach You
125	Ohoho
