sn	desc
1021	Clear without retreating
1022	Clear with everyone's HP 50% or higher
1023	Clear with everyone's HP 70% or higher
1031	Open 2 Treasure Chests
1032	Overall security level is 20% or lower
1033	Clear within 3 minutes
1041	Clear without retreating
1042	Clear with everyone's HP 50% or higher
1043	Clear with everyone's HP 70% or higher
1051	Open 2 Treasure Chests
1052	Do not retreat from any battles
1053	Clear within 3 minutes
1071	Clear without retreating
1072	Clear with everyone's HP 50% or higher
1073	Clear with everyone's HP 70% or higher
1081	Open 2 Treasure Chests
1082	Overall security level is 20% or lower
1083	Clear within 3 minutes
1091	Open 2 Treasure Chests
1092	Overall security level is 20% or lower
1093	Do not retreat from any battles
1101	Open 2 Treasure Chests
1102	Do not retreat from any battles
1103	Clear within 3 minutes
2021	Do not retreat from any battles
2022	Overall security level is 20% or lower
2023	Clear within 3 minutes
2031	Open 2 Treasure Chests
2032	Overall security level is 20% or lower
2033	Do not retreat from any battles
2041	Clear without retreating
2042	Clear with everyone's HP 50% or higher
2043	Clear with everyone's HP 70% or higher
2051	Open 2 Treasure Chests
2052	Overall security level is 20% or lower
2053	Clear within 3 minutes
2061	Open 2 Treasure Chests
2062	Overall security level is 20% or lower
2063	Do not retreat from any battles
2071	Open 2 Treasure Chests
2072	Overall security level is 20% or lower
2073	Clear within 3 minutes
2081	Do not retreat from any battles
2082	Overall security level is 20% or lower
2083	Do not retreat from any battles
2091	Open 2 Treasure Chests
2092	Overall security level is 20% or lower
2093	Clear within 3 minutes
2101	Do not retreat from any battles
2102	Overall security level is 20% or lower
2103	Do not retreat from any battles
2111	Clear without retreating
2112	Clear with everyone's HP 50% or higher
2113	Clear with everyone's HP 70% or higher
3021	Open 2 Treasure Chests
3022	Overall security level is 20% or lower
3023	Clear within 3 minutes
3031	Open 2 Treasure Chests
3032	Overall security level is 20% or lower
3033	Do not retreat from any battles
3051	Open 2 Treasure Chests
3052	Overall security level is 20% or lower
3053	Clear within 3 minutes
3071	Open 2 Treasure Chests
3072	Overall security level is 20% or lower
3073	Do not retreat from any battles
3081	Open 2 Treasure Chests
3082	Overall security level is 20% or lower
3083	Clear within 3 minutes
3091	Open 2 Treasure Chests
3092	Overall security level is 20% or lower
3093	Do not retreat from any battles
3111	Open 2 Treasure Chests
3112	Overall security level is 20% or lower
3113	Clear within 3 minutes
3121	Open 2 Treasure Chests
3122	Overall security level is 20% or lower
3123	Do not retreat from any battles
4011	Clear without retreating
4012	Clear with everyone's HP 50% or higher
4013	Clear with everyone's HP 70% or higher
4021	Open 2 Treasure Chests
4022	Overall security level is 20% or lower
4023	Do not retreat from any battles
4031	Open 2 Treasure Chests
4032	Overall security level is 20% or lower
4033	Clear within 3 minutes
4041	Open 2 Treasure Chests
4042	Overall security level is 20% or lower
4043	Do not retreat from any battles
4061	Open 2 Treasure Chests
4062	Overall security level is 20% or lower
4063	Clear within 3 minutes
4071	Open 2 Treasure Chests
4072	Overall security level is 20% or lower
4073	Do not retreat from any battles
4081	Open 2 Treasure Chests
4082	Overall security level is 20% or lower
4083	Clear within 3 minutes
4091	Clear without retreating
4092	Clear with everyone's HP 50% or higher
4093	Clear with everyone's HP 70% or higher
4101	Open 2 Treasure Chests
4102	Overall security level is 20% or lower
4103	Clear within 3 minutes
5031	Open 2 Treasure Chests
5032	Overall security level is 20% or lower
5033	Do not retreat from any battles
5041	Open 2 Treasure Chests
5042	Overall security level is 20% or lower
5043	Clear within 3 minutes
5051	Clear without retreating
5052	Clear with everyone's HP 50% or higher
5053	Clear with everyone's HP 70% or higher
5061	Open 2 Treasure Chests
5062	Overall security level is 20% or lower
5063	Clear within 3 minutes
5071	Open 2 Treasure Chests
5072	Overall security level is 20% or lower
5073	Do not retreat from any battles
5091	Open 2 Treasure Chests
5092	Overall security level is 20% or lower
5093	Clear within 3 minutes
5101	Open 2 Treasure Chests
5102	Overall security level is 20% or lower
5103	Do not retreat from any battles
6011	Open 2 Treasure Chests
6012	Overall security level is 20% or lower
6013	Clear within 3 minutes
6021	Open 2 Treasure Chests
6022	Overall security level is 20% or lower
6023	Do not retreat from any battles
6041	Open 2 Treasure Chests
6042	Overall security level is 20% or lower
6043	Clear within 3 minutes
6051	Open 2 Treasure Chests
6052	Overall security level is 20% or lower
6053	Do not retreat from any battles
6061	Open 2 Treasure Chests
6062	Overall security level is 20% or lower
6063	Clear within 3 minutes
6071	Open 2 Treasure Chests
6072	Overall security level is 20% or lower
6073	Do not retreat from any battles
6091	Clear without retreating
6092	Clear with everyone's HP 50% or higher
6093	Clear with everyone's HP 70% or higher
7001	Open 2 Treasure Chests
7002	Overall security level is 20% or lower
7003	Do not retreat from any battles
