sn	checkpointNum	title	describe	victoryText	failText
41101	Level 1	Beginner	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41102	Level 2	Intermediate	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41103	Level 3	Advanced	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41104	Level 4	Expert	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41105	Level 5	Master	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41201	Level 1	Beginner	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41202	Level 2	Intermediate	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41203	Level 3	Advanced	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41204	Level 4	Expert	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41205	Level 5	Master	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41301	Level 1	Beginner	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41302	Level 2	Intermediate	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41303	Level 3	Advanced	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41304	Level 4	Expert	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41305	Level 5	Master	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41401	Level 1	Beginner	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41402	Level 2	Intermediate	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41403	Level 3	Advanced	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41404	Level 4	Expert	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
41405	Level 5	Master	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42101	Level 1	Physical and Gun Attacks 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42102	Level 2	Physical and Gun Attacks 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42103	Level 3	Physical and Gun Attacks 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42104	Level 4	Physical and Gun Attacks 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42105	Level 5	Physical and Gun Attacks 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42201	Level 1	Wind and Electricity 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42202	Level 2	Wind and Electricity 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42203	Level 3	Wind and Electricity 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42204	Level 4	Wind and Electricity 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42205	Level 5	Wind and Electricity 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42301	Level 1	Ice and Fire 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42302	Level 2	Ice and Fire 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42303	Level 3	Ice and Fire 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42304	Level 4	Ice and Fire 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42305	Level 5	Ice and Fire 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42401	Level 1	Nuclear and Psychokinesis 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42402	Level 2	Nuclear and Psychokinesis 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42403	Level 3	Nuclear and Psychokinesis 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
