sn	SubjectNodeText	PredicativeNodeText
9001	AAAAAA==	AAAAAA==
9002	AAAAAA==	AAAAAA==
9003	AAAAAA==	AAAAAA==
9004	AAAAAA==	AAAAAA==
9005	AAAAAA==	AAAAAA==
9006	AAAAAA==	AAAAAA==
9007	AAAAAA==	AAAAAA==
9008	AAAAAA==	AAAAAA==
9009	AAAAAA==	AAAAAA==
9010	AAAAAA==	AAAAAA==
9011	AAAAAA==	AAAAAA==
9012	AAAAAA==	AAAAAA==
9013	AAAAAA==	AAAAAA==
9014	AAAAAA==	AAAAAA==
9015	AAAAAA==	AAAAAA==
9016	AAAAAA==	AAAAAA==
9017	AAAAAA==	AAAAAA==
9018	AAAAAA==	AAAAAA==
9019	AAAAAA==	AAAAAA==
9020	AAAAAA==	AAAAAA==
9021	AAAAAA==	AAAAAA==
9022	AAAAAA==	AAAAAA==
9023	AAAAAA==	AAAAAA==
9024	AAAAAA==	AAAAAA==
9025	AAAAAA==	AAAAAA==
9026	AAAAAA==	AAAAAA==
9027	AAAAAA==	AAAAAA==
9028	AAAAAA==	AAAAAA==
8532501	AAAAAA==	AAAAAA==
8532502	AAAAAA==	AAAAAA==
8532503	AAAAAA==	AAAAAA==
8532504	AAAAAA==	AAAAAA==
8532505	AAAAAA==	AAAAAA==
8532506	AAAAAA==	AAAAAA==
8532507	AAAAAA==	AAAAAA==
8535508	AAAAAA==	AAAAAA==
8532509	AAAAAA==	AAAAAA==
8532510	AAAAAA==	AAAAAA==
8534511	AAAAAA==	AAAAAA==
8532512	AAAAAA==	AAAAAA==
8534513	AAAAAA==	AAAAAA==
8534514	AAAAAA==	AAAAAA==
8534515	AAAAAA==	AAAAAA==
8535516	AAAAAA==	AAAAAA==
8532517	AAAAAA==	AAAAAA==
8534518	AAAAAA==	AAAAAA==
8534519	AAAAAA==	AAAAAA==
8534520	AAAAAA==	AAAAAA==
8534521	AAAAAA==	AAAAAA==
8532522	AAAAAA==	AAAAAA==
8534523	AAAAAA==	AAAAAA==
8534524	AAAAAA==	AAAAAA==
8532525	AAAAAA==	AAAAAA==
8532526	AAAAAA==	AAAAAA==
8532527	AAAAAA==	AAAAAA==
8534528	AAAAAA==	AAAAAA==
