sn	rewardDes1	rewardDes2	rewardDes3
201	Cognition Crystals	Money	Meta Jewels
202	Cognition Crystals	Money	Meta Jewels
203	Cognition Crystals	Money	Meta Jewels
204	Cognition Crystals	Money	Meta Jewels
205	Cognition Crystals	Money	Meta Jewels
206	Cognition Crystals	Money	Meta Jewels
207	Cognition Crystals	Money	Meta Jewels
208	Cognition Crystals	Money	Meta Jewels
209	Cognition Crystals	Money	Meta Jewels
210	Cognition Crystals	Money	Meta Jewels
211	Cognition Crystals	Money	Meta Jewels
212	Cognition Crystals	Money	Meta Jewels
213	Cognition Crystals	Money	Meta Jewels
214	Cognition Crystals	Money	Meta Jewels
215	Cognition Crystals	Money	Meta Jewels
216	Cognition Crystals	Money	Meta Jewels
