sn	specialAwardName	specialAwardShowMessage
101	The Road to Stardom	You can sign contracts to recruit more Phantom Idols
105	Platinum Ticket	You can now fuse Archangel
107	The Idol Ideal	You can now fuse Setanta
109	VIP Access	You can now fuse Anubis
111	My Fave Is Justice	You can now fuse Okuninushi
113	You're in the Spotlight	You can now fuse Narcissus
115	Full-Power Support	You may receive an extra seal when fusing a 2★ or 3★ Persona of Rank 4 or lower
120	Dancing with Shadows	You can now fuse Kohryu
201	Watch Close!	You can use your Third Eye during Batting Practice
205	Teamwork!	All allies' HP will be fully restored when a battle ends with an all-out attack (only effective in a Palace or Mementos against Wandering Shadows)
209	One More Rep!	You can challenge a new difficulty level in Batting Practice	 and new prizes will be available at the Batting Points Shop
213	We're All Set!	The Highlight gauge will be refilled to 30% after resting in a safe room (only effective in a Palace or Mementos against Wandering Shadows)
217	Bring It On!	You can challenge a new difficulty level in Batting Practice	 and new prizes will be available at the Batting Points Shop
301	High-Class Tastes	You unlocked the Expensive Sushi Shop. Invite someone there to increase your Synergy by 25%
305	Broadening Horizons	You unlocked the Planetarium. Invite someone there to increase your Synergy by 25%.
309	Art Appreciation	You unlocked the Museum. Invite someone there to increase your Synergy by 25%
313	The Notes You Don't Play	You unlocked the Jazz Bar. Invite someone there to increase your Synergy by 25%
317	An Extra-Special Place	You unlocked the Skytree Panorama Restaurant. Invite someone there to increase your Synergy by 25%
401	It's a Deal	Lufel's "Business" Plan will update occasionally
402	Infiltration Prep	You can now craft infiltration tools
403	Infiltration Know-How	You can insta-kill low-level Shadows in Palaces or Mementos
404	Intermediate Crafting	You can now craft more Treasure Detectors	 infiltration tools	 and gifts
405	Efficient Prep	Some materials may be returned after crafting gifts
407	Crafting Technique	You may produce an extra item when crafting gifts
501	Simple Solo Cooking	You can cook more recipes
505	Every Ingredient Counts!	Some ingredients may be returned after cooking
509	Pro-Level Chef	Your chance of cooking delicious dishes increases
512	Cooking from the Heart	You may produce an extra serving after cooking
515	Chef's Special Recipes	You can cook even more recipes
601	Hero's Rest	You get the book "Quick Relaxation Methods"
603	Angel of Healing	You get the book "All About First Aid"
611	Perfect Armor	You get the book "MUSCLES!"
615	Tome of Forbidden Knowledge	You get the book "Secret Librarian Skills."
620	Blue Eye of Prophecy	You get the book "Analysis of Film"
701	Cultural Exchange	You can craft more battle items
705	The Best Chinese Cuisine	You can cook more Chinese cuisine recipes
709	Fruits of Our Labor	You can craft even more battle items
713	A Trick or Two	You may get back some materials after crafting battle items
717	Irresistible Chinese Cuisine	You can cook even more Chinese cuisine recipes
801	Part-Time Debut	You can now work at the crêpe shop in Shibuya
805	Basics of Hospitality	You may get a boost to a social stat when working part-time
807	Part-Time Warrior	You can now work at the drugstore in Shibuya
813	Customer Service Mastery	You will get a bigger social stat boost when working part-time
817	Part-Time Pro	You can now work at the bookstore in Shinjuku
901	Neighborhood Stylist	Received the Casual Outfit
903	Hottest Trends	Receive the Green Casual Outfit
909	Shibuya Style	You unlocked new clothes at the clothing store in Shibuya Station Underground Mall
913	Dress to Impress	You unlocked new clothes at the boutique in Shibuya Station Underground Mall
920	Personal Stylist	Received the School Outfit
