sn	tipsCondition
101	Reach level %s
201	Form a bond with %s
202	Form a bond with %s
203	Form a bond with %s
204	Form a bond with %s
205	Form a bond with %s
206	Form a bond with %s
207	Form a bond with %s
208	Form a bond with %s
209	Form a bond with %s
2011	Form a bond with %s
2012	Form a bond with %s
2013	Form a bond with %s
2014	Form a bond with %s
2015	Form a bond with %s
2016	Form a bond with %s
2017	Form a bond with %s
301	Reach Synergy Rank %s with the accomplice
302	Reach Synergy Rank %s with the accomplice
303	Reach Synergy Rank %s with the accomplice
304	Reach Synergy Rank %s with the accomplice
305	Reach Synergy Rank %s with the accomplice
306	Reach Synergy Rank %s with the accomplice
307	Reach Synergy Rank %s with the accomplice
308	Reach Synergy Rank %s with the accomplice
309	Reach Synergy Rank %s with the accomplice
310	Reach Synergy Rank %s with the accomplice
311	Reach Synergy Rank %s with the accomplice
312	Reach Synergy Rank %s with the accomplice
313	Reach Synergy Rank %s with the accomplice
314	Reach Synergy Rank %s with the accomplice
315	Reach Synergy Rank %s with the accomplice
316	Reach Synergy Rank %s with the accomplice
317	Reach Synergy Rank %s with the accomplice
318	Reach Synergy Rank %s with the accomplice
319	Reach Synergy Rank %s with the accomplice
320	Reach Synergy Rank %s with the accomplice
401	Clear the mission %s
501	Clear the required story
601	Clear the event %s
