sn	name	cvCnName0	cvJpName0	abilityDes	loverNotice
1	Merope	NB[Co][1]	 Yukari Tamura	Increases the selection of Personas for fusion.	Make Merope your exclusive concierge.
2	Motoha Arai	NB[Co][2]	 Kaede Hondo	Challenge new difficulty levels at the batting cages.	You can become soulmates with Motoha.
3	Riko Tanemura	NB[Co][3]	 Atsumi Tanezaki	Learn new places you can visit.	You can become soulmates with Riko.
4	Lufel	NB[Co][4]	 Ai Nonaka	Learn to craft more infiltration items.	AAAAAA==
5	Shun Kano	NB[Co][5]	 Katsuyuki Konishi	Learn more recipes to cook.	Become close friends with Shun.
6	Kiyoshi Kurotani	NB[Co][6]	 Yusuke Kobayashi	Obtain various books.	Become close friends with Kurotani.
7	Yaoling Li	NB[Co][7]	 Ru Thing	Learn to make Chinese cuisine and battle items.	You can become soulmates with Yaoling.
8	Tomoko Noge	NB[Co][8]	 Satomi Akesaka	You can now work at various part-time jobs.	You can become soulmates with Tomoko.
9	Kayo Tomiyama	NB[Co][9]	 Atsuko Tanaka	Obtain various outfits.	Become close friends with Tomiyama.
10	Toshiya Sumi	NB[Co][10]	 Junya Enoki	Learn more about fishing.	Become close friends with Sumi.
12	Ayaka Sakai	NB[Co][12]	 Yui Makino	Learn more about performing music.	You can become soulmates with Ayaka.
13	Yumi Shiina	NB[Co][13]	 Yumi Hara	Learn to make more drinks.	You can become soulmates with Yumi.
14	Miyu Sahara	NB[Co][14]	 Kana Ichinose	AAAAAA==	You can become soulmates with Miyu.
15	Kira Kitazato	NB[Co][15]	AAAAAA==	AAAAAA==	Become close friends with Kitazato.
16	Masaki Ashiya	NB[Co][16]	AAAAAA==	AAAAAA==	Become close friends with Ashiya.
17	Kotone Montagne	NB[Co][17]	 Shino Shimoji	AAAAAA==	You can become soulmates with Kotone.
18	Runa Dogenzaka	NB[Co][18]	 Yanqi Sun	Learn more about performing music.	You can become soulmates with Runa.
19	AAAAAA==	NB[Co][19]	 Yanqi Sun	AAAAAA==	You can start a relationship with the accomplice.
20	AAAAAA==	NB[Co][20]	 Yanqi Sun	AAAAAA==	You can start a relationship with the accomplice.
11	AAAAAA==	NB[Co][11]	 Chika Anzai	Learn to plant more and shorten harvest time.	Become close friends with Yui.
