sn	conditionDes
306701	Raise Ann Takamaki to level 50.
306702	Raise Ryuji Sakamoto to level 50.
306703	Raise Yusuke Kitagawa to level 50.
306704	Raise Makoto Niijima to level 50.
306705	Raise Yukimi Fujikawa to level 50.
306706	Raise Goro Akechi to level 50.
306707	Raise Lufel to level 50.
306708	Raise Morgana to level 50.
306709	Raise Haru Okumura to level 50.
306710	Default icon.
306711	Infiltration Test icon.
306712	Raise Seiji Shiratori to level 50.
306713	Raise Kiyoshi Kurotani to level 50.
306714	Raise Shun Kano to level 50.
306715	Raise Kotone Montagne to level 50.
306716	Raise Leo Kamiyama to level 50.
306717	Raise Motoha Arai to level 50.
306718	Raise Tomoko Noge to level 50.
306719	Raise Futaba Sakura to level 50.
306720	Raise Kayo Tomiyama to level 50.
306721	Raise Yaoling Li to level 50.
306722	Raise Ren Amamiya to level 50.
306723	Raise Ann Takamaki to level 30.
306724	Raise Ryuji Sakamoto to level 30.
306725	Raise Yusuke Kitagawa to level 30.
306726	Raise Makoto Niijima to level 30.
306727	Raise Yukimi Fujikawa to level 30.
306728	Raise Goro Akechi to level 30.
306729	Raise Lufel to level 30.
306730	Raise Haru Okumura to level 30.
306731	Raise Seiji Shiratori to level 30.
306732	Raise Kiyoshi Kurotani to level 30.
306733	Raise Shun Kano to level 30.
306734	Raise Kotone Montagne to level 30.
306735	Raise Leo Kamiyama to level 30.
306736	Raise Motoha Arai to level 30.
306737	Raise Tomoko Noge to level 30.
306738	Raise Futaba Sakura to level 30.
306740	Raise Kayo Tomiyama to level 30.
306741	Raise Yaoling Li to level 30.
306742	Raise Ren Amamiya to level 30.
306743	Raise Riko Tanemura to level 30.
306744	Reach Synergy Rank 1 with Merope.
306745	Raise Yui to level 50.
306746	Raise Toshiya Sumi to level 50.
306747	Raise Miyu Sahara to level 50.
306748	Raise Haruna Nishimori to level 50.
306749	Raise Toshiya Sumi to level 30.
306750	Raise Miyu Sahara to level 30.
306751	Raise Haruna Nishimori to level 30.
306752	Raise Riko Tanemura to level 50.
306753	Raise Yui to level 30.
306775	Raise Minami Miyashita to level 30.
306776	Raise Minami Miyashita to level 50.
306777	Raise Chizuko Nagao to level 30.
306778	Raise Chizuko Nagao to level 50.
306779	Raise Yumi Shiina to level 30.
306780	Raise Yumi Shiina to level 50.
306785	Raise Ayaka Sakai to level 30.
306786	Raise Ayaka Sakai to level 50.
306787	Raise Summer Motoha Arai to level 30.
306788	Raise Summer Motoha Arai to level 50.
306754	Become close friends with Yui.
306755	Reach Synergy Rank 15 and become close friends with Yui.
306756	Become close friends with Lufel.
306757	Reach Synergy Rank 15 and become close friends with Motoha.
306758	Reach Synergy Rank 15 and become soulmates with Motoha.
306759	Become close friends with Kurotani.
306760	Reach Synergy Rank 15 and become close friends with Kurotani.
306761	Reach Synergy Rank 15 and become close friends with Tomoko.
306762	Reach Synergy Rank 15 and become soulmates with Tomoko.
306763	Make Merope your exclusive concierge.
306764	Reach Synergy Rank 17 with Merope and make her your exclusive concierge.
306765	Become close friends with Tomiyama.
306766	Reach Synergy Rank 15 and become close friends with Tomiyama.
306767	Reach Synergy Rank 15 and become close friends with Yaoling.
306768	Reach Synergy Rank 15 and become soulmates with Yaoling.
306769	Become close friends with Shun.
306770	Reach Synergy Rank 15 and become close friends with Shun.
306771	Become close friends with Riko.
306772	Become soulmates with Riko.
306773	Invite 5 friends to the pre-registration event.
306774	Raise Morgana to level 30.
306781	Reach Synergy Rank 15 and become close friends with Yumi.
306782	Reach Synergy Rank 15 and become soulmates with Yumi.
306783	Reach Synergy Rank 15 and become close friends with Ayaka.
306784	Reach Synergy Rank 15 and become soulmates with Ayaka.
306789	Reach Synergy Rank 15 and become close friends with Miyu.
306790	Reach Synergy Rank 15 and become soulmates with Miyu.
306791	Reach Synergy Rank 15 and become close friends with Kitazato.
306792	Reach Synergy Rank 15 and become close friends with Ashiya.
306793	Raise Summer Tomoko to level 30.
306794	Raise Summer Tomoko to level 50.
311001	Default icon.
311002	Default icon.
306797	Raise Masaki Ashiya to level 30.
306798	Raise Masaki Ashiya to level 50.
306799	Reach Synergy Rank 15 and become close friends with Kotone.
306800	Reach Synergy Rank 15 and become soulmates with Kotone.
311016	Raise Kotone to level 30.
311017	Raise Kotone to level 50.
306795	Raise Kira Kitazato to level 30.
306796	Raise Kira Kitazato to level 50.
311003	Default icon.
311004	Default icon.
311005	Default icon.
311006	Default icon.
311007	Default icon.
311008	Default icon.
311009	Default icon.
311010	Default icon.
311011	Default icon.
311012	Default icon.
311013	Default icon.
311014	Default icon.
311015	Default icon.
306801	City Life reward.
306802	Reach Synergy Rank 10 with Merope.
306803	Reach Synergy Rank 10 with Motoha.
306804	Reach Synergy Rank 5 with Lufel.
306805	Exchange as a Catch Log reward.
306806	Exchange from the batting cages.
306807	Reward for participating in beta testing.
306808	Reach Synergy Rank 10 with Kurotani.
306809	Reach Synergy Rank 10 with Tomoko.
306811	Reach level 6 with the soccer team.
306812	Reach level 6 in band club.
306818	Reach Synergy Rank 10 with Riko.
306819	Reach Synergy Rank 10 with Tomiyama.
306820	Reach Synergy Rank 10 with Shun.
306821	Reach Synergy Rank 10 with Yaoling.
306822	Reach Synergy Rank 10 with Sumi.
306823	Phantom Pass Phase 1 collection reward.
306824	Awarded for reaching Synergy Rank 20 with Merope and making her your exclusive concierge.
306825	Reach Synergy Rank 20 with Merope and make her your exclusive concierge.
306826	Reach Synergy Rank 20 and become close friends with Motoha.
306827	Reach Synergy Rank 20 and become soulmates with Motoha.
306828	Reach Synergy Rank 20 and become close friends with Tomoko.
306829	Reach Synergy Rank 20 and become soulmates with Tomoko.
306830	Reach Synergy Rank 20 and become close friends with Yaoling.
306831	Reach Synergy Rank 20 and become soulmates with Yaoling.
306832	Reach Synergy Rank 20 and become close friends with Tomiyama.
306833	Awarded for reaching Synergy Rank 20 and becoming close friends with Tomiyama.
306834	Reach Synergy Rank 20 and become close friends with Riko.
306835	Reach Synergy Rank 20 and become soulmates with Riko.
306836	Reach Synergy Rank 20 and become close friends with Yui.
306837	Awarded for reaching Synergy Rank 20 and becoming close friends with Yui.
306838	Awarded for reaching Synergy Rank 20 and becoming close friends with Shun.
306839	Reach Synergy Rank 20 and become close friends with Shun.
306840	Reach Synergy Rank 20 and become close friends with Kurotani.
306841	Reach Synergy Rank 20 and become close friends with Ashiya.
306842	Reach Synergy Rank 20 and become close friends with Sumi.
306843	Reach Synergy Rank 20 and become close friends with Sumi.
306844	Receive from official events.
306845	Receive from official events.
306846	Receive from official events.
306847	Receive from official events.
306848	Receive from official events.
306849	Receive from official events.
306850	Clear the Museum and Bank Arcs in Crossroads of Fate.
306851	Receive from official events.
306852	Receive from official events.
306853	Receive from official events.
306854	Phantom Pass Phase 2 Premium+ reward.
306855	Phantom Pass Phase 3 Premium+ reward.
306856	Receive from official events.
306857	Reach Synergy Rank 20 and become close friends with Ayaka.
306858	Reach Synergy Rank 20 and become soulmates with Ayaka.
306859	Reach Synergy Rank 20 and become close friends with Yumi.
306860	Reach Synergy Rank 20 and become soulmates with Yumi.
306861	Receive from official events.
