sn	name
1	Blue Town Outfit
2	Loungewear
3	Kokatsu Academy Uniform
1001	Gray Town Outfit
1002	Indigo Town Outfit
1003	Navy Town Outfit
1005	White Holiday Outfit
1006	Purple Holiday Outfit
1007	Blue Holiday Outfit
1008	Black Holiday Outfit
1009	Light Blue Summer Outfit
1010	Black Summer Outfit
1011	Gray Summer Outfit
1012	Pink Summer Outfit
1013	School Outfit
1014	Purple School Outfit
1015	Brown School Outfit
1016	Green School Outfit
1017	Casual Outfit
1018	Brown Casual Outfit
1019	Blue Casual Outfit
1020	Green Casual Outfit
1021	White Street Outfit
1022	Black Street Outfit
1025	Rocker Outfit
1026	Countryside Classic
1027	Classic Outfit
1028	Athleisure Outfit
1029	Pink Athleisure Outfit
1030	White Athleisure Outfit
1031	Purple Athleisure Outfit
1032	Green Athleisure Outfit
1033	Orange Athleisure Outfit
1034	Yellow Athleisure Outfit
1035	Coral Athleisure Outfit
1036	Brown Athleisure Outfit
1037	Aqua Athleisure Outfit
1038	Pink Shell Outfit
1039	Green Shell Outfit
1040	Blue Shell Outfit
1041	Brown Shell Outfit
1042	Purple Silk Outfit
1043	Aqua Artsy Outfit
1044	Blue Artsy Outfit
1045	Red Artsy Outfit
1046	Purple Artsy Outfit
1047	Error: tnxotb-[FashionSuit_name_1047]
1048	Error: tnxotb-[FashionSuit_name_1048]
1049	Beige Knit Outfit
1050	Light Blue Knit Outfit
1051	Green Knit Outfit
1052	Aqua Knit Outfit
2001	Gray Mokokuma Pajamas
2002	Pink Mokokuma Pajamas
2003	Blue Mokokuma Pajamas
2004	Brown Mokokuma Pajamas
2005	Comfy Loungewear
2006	Vibrant Loungewear
2007	Striped Loungewear
2008	Fun Loungewear
2009	Blue Flowy Pajamas
2010	Green Flowy Pajamas
2011	Kitty Pajamas
2012	Holiday Pajamas
2013	Blue Jinbei
2014	Checkered Jinbei
2015	Mint Jinbei
2016	Maple Leaf Jinbei
2017	Navy & White Jinbei
4002	Kokatsu Academy Uniform
100	School Socks
101	Loungewear
