sn	name	desc
1001	NB[Fa][001]	AAAAAA==
1002	NB[Fa][002]	AAAAAA==
1003	NB[Fa][003]	AAAAAA==
1004	NB[Fa][004]	AAAAAA==
1005	NB[Fa][005]	AAAAAA==
1012	NB[Fa][012]	AAAAAA==
1008	NB[Fa][008]	AAAAAA==
1101	NB[Fa][101]	AAAAAA==
1102	NB[Fa][102]	AAAAAA==
1103	NB[Fa][103]	AAAAAA==
1104	NB[Fa][104]	AAAAAA==
1105	NB[Fa][105]	AAAAAA==
1201	NB[Fa][201]	AAAAAA==
1202	NB[Fa][202]	AAAAAA==
1203	NB[Fa][203]	AAAAAA==
1204	NB[Fa][204]	AAAAAA==
1301	NB[Fa][301]	AAAAAA==
1302	NB[Fa][302]	AAAAAA==
2101	NB[Fa][101]	AAAAAA==
2102	NB[Fa][102]	AAAAAA==
2104	NB[Fa][104]	AAAAAA==
2105	NB[Fa][105]	AAAAAA==
2106	NB[Fa][106]	AAAAAA==
2107	AAAAAA==	AAAAAA==
3001	NB[Fa][001]	AAAAAA==
3002	NB[Fa][002]	AAAAAA==
3004	NB[Fa][004]	AAAAAA==
3005	NB[Fa][005]	AAAAAA==
3006	NB[Fa][006]	AAAAAA==
3011	NB[Fa][011]	AAAAAA==
3012	NB[Fa][012]	AAAAAA==
3101	NB[Fa][101]	AAAAAA==
3102	NB[Fa][102]	AAAAAA==
3103	NB[Fa][103]	AAAAAA==
3104	NB[Fa][104]	AAAAAA==
3105	NB[Fa][105]	AAAAAA==
3107	NB[Fa][107]	AAAAAA==
3201	NB[Fa][201]	AAAAAA==
3108	NB[Fa][108]	AAAAAA==
3202	NB[Fa][202]	AAAAAA==
4001	NB[Fa][001]	AAAAAA==
4002	NB[Fa][002]	AAAAAA==
4003	NB[Fa][003]	AAAAAA==
4004	NB[Fa][004]	AAAAAA==
4101	NB[Fa][101]	AAAAAA==
4102	NB[Fa][102]	AAAAAA==
4103	NB[Fa][103]	AAAAAA==
4104	NB[Fa][104]	AAAAAA==
4105	NB[Fa][105]	AAAAAA==
5001	NB[Fa][001]	AAAAAA==
5002	NB[Fa][002]	AAAAAA==
5003	NB[Fa][003]	AAAAAA==
5004	NB[Fa][004]	AAAAAA==
5101	NB[Fa][101]	AAAAAA==
5102	NB[Fa][102]	AAAAAA==
5103	NB[Fa][103]	AAAAAA==
5104	NB[Fa][104]	AAAAAA==
5105	NB[Fa][105]	AAAAAA==
5106	NB[Fa][106]	AAAAAA==
6004	NB[Fa][004]	AAAAAA==
5107	NB[Fa][107]	AAAAAA==
5108	NB[Fa][108]	AAAAAA==
6001	NB[Fa][001]	AAAAAA==
6002	NB[Fa][002]	AAAAAA==
6003	NB[Fa][003]	AAAAAA==
6101	NB[Fa][101]	AAAAAA==
6102	NB[Fa][102]	AAAAAA==
6103	NB[Fa][103]	AAAAAA==
6104	NB[Fa][104]	AAAAAA==
6105	NB[Fa][105]	AAAAAA==
7001	NB[Fa][001]	AAAAAA==
7002	NB[Fa][002]	AAAAAA==
7003	NB[Fa][003]	AAAAAA==
7004	NB[Fa][004]	AAAAAA==
7101	NB[Fa][101]	AAAAAA==
7102	NB[Fa][102]	AAAAAA==
7103	NB[Fa][103]	AAAAAA==
7104	NB[Fa][104]	AAAAAA==
7105	NB[Fa][105]	AAAAAA==
8001	NB[Fa][001]	AAAAAA==
8002	NB[Fa][002]	AAAAAA==
8101	NB[Fa][101]	AAAAAA==
8102	NB[Fa][102]	AAAAAA==
8103	NB[Fa][103]	AAAAAA==
8104	NB[Fa][104]	AAAAAA==
9004	NB[Fa][004]	AAAAAA==
9005	NB[Fa][005]	AAAAAA==
8105	NB[Fa][105]	AAAAAA==
8201	NB[Fa][201]	AAAAAA==
8202	NB[Fa][202]	AAAAAA==
8203	NB[Fa][203]	AAAAAA==
9001	NB[Fa][001]	AAAAAA==
9002	NB[Fa][002]	AAAAAA==
9003	NB[Fa][003]	AAAAAA==
9101	NB[Fa][101]	AAAAAA==
9102	NB[Fa][102]	AAAAAA==
9103	NB[Fa][103]	AAAAAA==
9104	NB[Fa][104]	AAAAAA==
9105	NB[Fa][105]	AAAAAA==
9106	NB[Fa][106]	AAAAAA==
10001	NB[Fa][001]	AAAAAA==
10002	NB[Fa][002]	AAAAAA==
10003	NB[Fa][003]	AAAAAA==
10004	NB[Fa][004]	AAAAAA==
10005	NB[Fa][005]	AAAAAA==
10006	NB[Fa][006]	AAAAAA==
10007	NB[Fa][007]	AAAAAA==
10008	NB[Fa][008]	AAAAAA==
10009	NB[Fa][009]	AAAAAA==
10010	NB[Fa][010]	AAAAAA==
10011	NB[Fa][011]	AAAAAA==
10012	NB[Fa][012]	AAAAAA==
10013	NB[Fa][013]	AAAAAA==
10014	NB[Fa][014]	AAAAAA==
10021	NB[Fa][021]	AAAAAA==
10022	NB[Fa][022]	AAAAAA==
10023	NB[Fa][023]	AAAAAA==
10024	NB[Fa][024]	AAAAAA==
10025	NB[Fa][025]	AAAAAA==
10026	NB[Fa][026]	AAAAAA==
10031	NB[Fa][031]	AAAAAA==
10032	NB[Fa][032]	AAAAAA==
10041	NB[Fa][041]	AAAAAA==
10042	NB[Fa][042]	AAAAAA==
10051	NB[Fa][051]	AAAAAA==
10052	NB[Fa][052]	AAAAAA==
10061	NB[Fa][061]	AAAAAA==
10062	NB[Fa][062]	AAAAAA==
10063	NB[Fa][063]	AAAAAA==
10064	NB[Fa][064]	AAAAAA==
10071	NB[Fa][071]	AAAAAA==
10072	NB[Fa][072]	AAAAAA==
10081	NB[Fa][081]	AAAAAA==
10082	NB[Fa][082]	AAAAAA==
10091	NB[Fa][091]	AAAAAA==
10093	NB[Fa][093]	AAAAAA==
10094	NB[Fa][094]	AAAAAA==
10092	NB[Fa][092]	AAAAAA==
10095	NB[Fa][095]	AAAAAA==
10096	NB[Fa][096]	AAAAAA==
10101	NB[Fa][101]	AAAAAA==
10102	NB[Fa][102]	AAAAAA==
10103	NB[Fa][103]	AAAAAA==
10104	NB[Fa][104]	AAAAAA==
10105	NB[Fa][105]	AAAAAA==
10106	NB[Fa][106]	AAAAAA==
10107	NB[Fa][107]	AAAAAA==
10108	NB[Fa][108]	AAAAAA==
