sn	name
21	Glimmering Gold Kaleidoscope
22	Ruby Red Kaleidoscope
23	Vibrant Violet Kaleidoscope
24	Glimmering Gold Spiral
25	Ruby Red Spiral
26	Vibrant Violet Spiral
27	Glimmering Gold Willow
28	Ruby Red Willow
29	Vibrant Violet Willow
30	Glimmering Gold Crackle
31	Ruby Red Crackle
32	Vibrant Violet Crackle
33	Glimmering Gold Heart
34	Ruby Red Heart
35	Vibrant Violet Heart
36	Glimmering Gold Star
37	Ruby Red Star
38	Vibrant Violet Star
39	Glimmering Gold Palm
40	Ruby Red Palm
41	Vibrant Violet Palm
42	Glimmering Gold Cascade
43	Ruby Red Cascade
44	Vibrant Violet Cascade
