sn	name
101	Freshwater Prawn Manual
102	Salmon Manual
103	Star Snapper Manual
104	Crucian Carp Manual
105	Carp Manual
106	Barbel Steed Manual
107	White Crucian Carp Manual
108	Mackerel Manual
109	Eel Manual
201	Greasy Grouper Manual
202	Red Snapper Manual
203	Dace Manual
204	Barracuda Manual
205	Minnow Manual
206	Herring Manual
207	Masu Salmon Manual
208	Rockfish Manual
209	Sturgeon Manual
210	Bonito Manual
301	Jack Mackerel Manual
302	Sea Bass Manual
303	Sole Manual
304	Turbot Manual
305	Pearl-Spot Chromis Manual
306	Malabar Grouper Manual
307	Catfish Manual
308	Mullet Manual
309	Coming Soon
9901	Red Sanke Koi
9902	Moonfish
9903	Chinook Salmon
9904	Black Sanke Koi
9905	White Butterfly Koi
