sn	func_Name
1	Phantom Thief Training
2	Phantom Thief Level Up
3	Phantom Thief Hidden Ability
4	Phantom Thief Awareness
5	Phantom Thief Skills
6	Weapons
7	Weapon Enhancement
8	Weapon Forging
9	Revelation
10	Schema
11	Persona Training
12	Persona Enhancement
13	Persona Awareness
14	Persona Skills
15	Persona Compendium
16	Persona Fusion
17	Settings
18	Persona Slot 2
19	Persona Slot 3
20	Persona Rank Up
21	Unlock Phantom Thief
22	Mindscape
31	LIKES
32	REWARDS
33	FILE
34	Main Card
35	Wonder's Phantom Thief Attire
38	Customize Revelation Card
98	Quick Skip Mode
99	Cooldown Mode
200	Party Settings
201	Exploration Progress
202	Trade
205	Party
206	Third Eye
207	Cattlemobile
208	Grappling Hook
209	Infiltration Tool
210	Medicine
211	Dash
213	Quit
214	Fare Machine
215	Mini Map
216	Fare Machine Button
300	Stardust Shard
301	The Velvet Trials
302	Realm of Repression
303	Mementos
304	Shadow Battle
305	Strange Castle
306	Relativity's Labyrinth
307	Well-Used Dungeon
308	Realm of Repression: Persona
310	Trials from the Sea of Souls
311	Recollections
312	Metro of Desire
313	Trial of the Astrolabe
320	The Velvet Trials NPC
330	Nightmare's Gateway
341	Dispatch Request
340	Dispatch All
342	Thief Tryout
351	Baseball
352	Fishing
353	Capsules
354	Tycoon
360	Clubs
361	Band Club
362	Soccer Team
401	Contracts
402	Event
403	Phantom Pass
404	Purchase Pass
405	Arms Deals
407	Goals
408	Survey
409	Follow Official Account
410	Crossroads of Fate
411	Crossroads of Fate: Museum and Bank Arcs
413	Crossroads of Fate: Museum and Bank Arcs
415	Gift Set
412	Challenge
414	News
500	View All Contents
417	Exclusive
416	Challenge
419	Launch
420	Celebration
418	Log
421	Login
422	Crossroads of Fate: Pyramid Arc
423	Crossroads of Fate: Spaceport Arc
501	Airsoft Shop
425	Sale
502	Clinic
503	Café Leblanc
504	Welcome Back Bonus
601	Sign
602	Yongen-Jaya
604	Feature Interface
605	City Life
606	Menu
607	Chat
609	Metaverse
610	Metaverse Challenge
611	Chamber of Recollections
620	Collections
621	Collections: Story Memories
631	Total Rating
700	City Lufel NPC
701	Home
702	Plants
703	Cooking
704	Workbench
705	Home
706	Closet
707	Display Case
801	Persona
802	Normal Attack
803	Dodge
804	Gun
805	Turn Page
806	Items
807	Guard
808	All-Out Attack
850	Battle Intel
851	Dash
852	Auto-Battle
853	Quit
900	Assist Phantom Thief
901	Customize
902	Bag
903	Phantom Thieves
904	Persona
905	Synergy
906	Shop
907	Mail
908	Friends
909	Awards
910	Memories
911	Missions
912	Snapshot
913	Tutorials
914	Settings
915	Companio
916	City Life
917	Metaverse
918	Partial Download
919	Exchange Code
920	Trade
921	Music Player
922	Badge
930	Change Name
1001	Map
1002	Missions
1004	Yongen-Jaya
1005	Shinjuku
1006	Specified Commercial Transactions Act
1007	Lower Difficulty
