sn	name
1	Thanks	 I'll give it a look
2	It's okay	 don't worry about it.
3	Move
4	See you.
5	Drink
8	Purchase Stamina
9	Purchase Stamina
10	Shop
11	Don't drink
12	Change Name
13	Motoha IM - 1010
16	Play fade to black
18	Yeah... Let's come again tomorrow
19	Do you wanna talk?
20	See you.
21	Do you wanna talk?
22	See you.
23	Message
24	Maybe next time.
26	Yes
27	Change
28	Hideout
29	Go to shop
30	Open the Stage screen
31	Shop
32	Shop
33	Shop.
34	Shop
35	Shop
36	Open the Charge screen
37	Let's see...
38	Never mind.
39	See you.
40	See you.
41	See you.
42	See you.
43	See you.
44	See you.
46	See you.
47	See you.
48	I want to buy something.
49	See you.
50	Never mind.
51	Shop
52	Exchange with Assist Rewards
53	Exchange Star Crystals
54	Main Schema Screen
55	Exchange at Companio Shop
56	Trade at Exchange Shop
57	Workbench
58	Play Brawl Bots Limited-Time Event
59	Exchange at Cognition Shop
60	Move
61	Move
62	See you.
63	Listen quietly
64	Say hello
65	Leave
66	What is it?
67	See you.
68	Do you wanna talk?
69	See you.
70	Move
71	Move
72	Move
73	Move
74	Never mind.
75	Never mind
76	Move
77	Maybe next time.
78	See you.
79	Challenge Mode
80	Training Mode
81	Exchange Points
82	See you.
83	See you.
84	See you.
85	Open door
86	Open door
87	See you.
88	Do you wanna talk?
89	Claim reward stamp
90	Go to Convenience Store
91	Move to Fujikawa
92	Batting Cages Entrance
93	Search for Clues 1
94	Search for Clues 2
95	Search for Clues 3
96	Go to the Movie Theater
97	Enter the Palace
98	Never mind
99	Maybe next time
100	Join Trial Challenge
101	Mementos
102	Phantom Thief Training
103	Persona Training
104	Party Formation
105	Enter the Palace
106	Do you wanna talk?
107	See you.
108	The Velvet Trials
109	Jump Platform Challenge
110	Mementos
111	Join Trial Challenge
112	Greet
115	Awakening of the Unknown
116	Weapon Forging
117	Persona Lesson
118	Divine Oracle
119	Divine Oracle
120	Divine Oracle
121	Enter Room
122	Open City Life event screen
123	Proof of Strength
124	Purchase Action Points
125	Purchase Action Points
133	Enter Room
134	Maybe next time.
135	Challenge Mode
136	Training Mode
137	Fishing Shop
138	Beginner Pond
139	Expert Pond
140	Master Pond
141	Grandmaster Pond
142	Back
143	Display Bait Screen
144	Catch 'n' Trade
145	Leave Ichigaya
151	Secondhand Shop
152	Supermarket
153	Vending Machine
154	Rocinante
155	Flower Shop
156	Vending Machine
157	Shop
158	Convenience Store
159	Luxury Jewelry Shop
160	The Body Store
