sn	buffDesc
20001	Increases all allies' ailment accuracy by {0}%% (effective in battle).
20002	Increases Physical and Gun damage by {0}%% (effective in battle).
20003	Get {0} extra Konpaku Gems when you play Pursuit of Treasure.
20004	Increases Fire and Psychokinesis damage by {0}%% (effective in battle).
20005	Increases ally damage dealt in the Realm of Repression by {0}%% (effective in battle).
20007	Increases Ice and Nuclear damage by {0}%% (effective in battle).
20008	Restore {0} stamina after the first login of each day.
20009	Increases Electric and Bless damage by {0}%% (effective in battle).
20010	Increases Persona damage by {0}%% (effective in battle).
20011	Increases all allies' HP recovery by {0}%% (effective in battle).
20012	Increases Wind and Curse damage by {0}%% (effective in battle).
20013	Increases all allies' HP by {0} (effective in battle).
20014	Increases damage in Trials from the Sea of Souls by {0}%% (effective in battle).
20015	Increases the protagonist's damage dealt by {0}%% (effective in battle).
20017	Increases all allies' Defense by {0} (effective in battle).
20018	Increases damage in Nightmare's Gateway by {0}%% (effective in battle).
20019	Increases all allies' Speed by {0} (effective in battle).
20020	Increases all allies' Attack by {0} (effective in battle).
