sn	desc
10101	180 or more PERFECT notes.
10102	Achieve a 100+ combo.
10103	Achieve a Full Combo.
10201	5 or less MISS notes.
10202	Earn 2 or more S ratings.
10203	Achieve a Full Combo.
10301	Earn 3 or more A ratings.
10302	Achieve a 350+ combo.
10303	Score 193000 points.
20101	More than 90 PERFECT.
20102	Achieve a 50+ combo.
20103	Achieve a Full Combo.
20201	5 or less MISS notes.
20202	Earn 2 or more S ratings.
20203	Achieve a Full Combo.
20301	Earn 3 or more A ratings.
20302	Achieve a 250+ combo.
20303	Score 149000 points.
30101	120 or more PERFECT notes.
30102	Achieve a 100+ combo.
30103	Achieve a Full Combo.
30201	5 or less MISS notes.
30202	Earn 2 or more S ratings.
30203	Achieve a Full Combo.
40101	60 or more PERFECT.
40102	Achieve a 50+ combo.
40103	Achieve a Full Combo.
40201	5 or less MISS notes.
40202	Earn 2 or more S ratings.
40203	Achieve a Full Combo.
50101	120 or more PERFECT notes.
50102	Achieve a 50+ combo.
50103	Achieve a Full Combo.
50201	5 or less MISS notes.
50202	Earn 2 or more S ratings.
50203	Achieve a Full Combo.
60101	120 or more PERFECT notes.
60102	Achieve a 100+ combo.
60103	Achieve a Full Combo.
60201	5 or less MISS notes.
60202	Earn 2 or more S ratings.
60203	Achieve a Full Combo.
70101	90 or more PERFECT.
70102	Achieve a 50+ combo.
70103	Achieve a Full Combo.
70201	5 or less MISS notes.
70202	Earn 2 or more S ratings.
70203	Achieve a Full Combo.
80101	120 or more PERFECT notes.
80102	Achieve a 50+ combo.
80103	Achieve a Full Combo.
80201	5 or less MISS notes.
80202	Earn 2 or more S ratings.
80203	Achieve a Full Combo.
90101	60 or more PERFECT.
90102	Achieve a 50+ combo.
90103	Achieve a Full Combo.
90201	5 or less MISS notes.
90202	Earn 2 or more S ratings.
90203	Achieve a Full Combo.
100101	210 or more PERFECT notes.
100102	Achieve a 150+ combo.
100103	Achieve a Full Combo.
100201	5 or less MISS notes.
100202	Earn 2 or more S ratings.
100203	Achieve a Full Combo.
110101	90 or more PERFECT.
110102	Achieve a 50+ combo.
110103	Achieve a Full Combo.
110201	5 or less MISS notes.
110202	Earn 2 or more S ratings.
110203	Achieve a Full Combo.
110301	Earn 3 or more A ratings.
110302	Achieve a 250+ combo.
110303	Score 132000 points.
120101	90 or more PERFECT.
120102	Achieve a 50+ combo.
120103	Achieve a Full Combo.
120201	5 or less MISS notes.
120202	Earn 2 or more S ratings.
120203	Achieve a Full Combo.
120301	Earn 3 or more A ratings.
120302	Achieve a 450+ combo.
120303	Score 265000 points.
130101	120 or more PERFECT notes.
130102	Achieve a 50+ combo.
130103	Achieve a Full Combo.
130201	5 or less MISS notes.
130202	Earn 2 or more S ratings.
130203	Achieve a Full Combo.
140101	150 or more PERFECT notes.
140102	Achieve a 100+ combo.
140103	Achieve a Full Combo.
140201	5 or less MISS notes.
140202	Earn 2 or more S ratings.
140203	Achieve a Full Combo.
140301	Earn 3 or more A ratings.
140302	Achieve a 350+ combo.
140303	Score 182000 points.
150101	60 or more PERFECT.
150102	Achieve a 50+ combo.
150103	Achieve a Full Combo.
150201	5 or less MISS notes.
150202	Earn 2 or more S ratings.
150203	Achieve a Full Combo.
160101	90 or more PERFECT.
160102	Achieve a 50+ combo.
160103	Achieve a Full Combo.
160201	5 or less MISS notes.
160202	Earn 2 or more S ratings.
160203	Achieve a Full Combo.
160301	Earn 3 or more A ratings.
160302	Achieve a 350+ combo.
160303	Score 199000 points.
170101	90 or more PERFECT.
170102	Achieve a 50+ combo.
170103	Achieve a Full Combo.
170201	5 or less MISS notes.
170202	Earn 2 or more S ratings.
170203	Achieve a Full Combo.
180101	60 or more PERFECT.
180102	Achieve a 50+ combo.
180103	Achieve a Full Combo.
180201	5 or less MISS notes.
180202	Earn 2 or more S ratings.
180203	Achieve a Full Combo.
180301	Earn 3 or more A ratings.
180302	Achieve a 300+ combo.
180303	Score 175000 points.
190101	90 or more PERFECT.
190102	Achieve a 50+ combo.
190103	Achieve a Full Combo.
190201	5 or less MISS notes.
190202	Earn 2 or more S ratings.
190203	Achieve a Full Combo.
190301	Earn 3 or more A ratings.
190302	Achieve a 300+ combo.
190303	Score 164000 points.
200101	300 or more PERFECT notes.
200102	Achieve a 200+ combo.
200103	Achieve a Full Combo.
200201	5 or less MISS notes.
200202	Earn 2 or more S ratings.
200203	Achieve a Full Combo.
200301	Earn 3 or more A ratings.
200302	Achieve a 700+ combo.
200303	Score 385000 points.
210101	120 or more PERFECT notes.
210102	Achieve a 100+ combo.
210103	Achieve a Full Combo.
210201	5 or less MISS notes.
210202	Earn 2 or more S ratings.
210203	Achieve a Full Combo.
210301	Earn 3 or more A ratings.
210302	Achieve a 250+ combo.
210303	Score 143000 points.
220101	120 or more PERFECT notes.
220102	Achieve a 50+ combo.
220103	Achieve a Full Combo.
220201	5 or less MISS notes.
220202	Earn 2 or more S ratings.
220203	Achieve a Full Combo.
220301	Earn 3 or more A ratings.
220302	Achieve a 300+ combo.
220303	Score 156000 points.
230101	30 or more PERFECT.
230102	Achieve a 50+ combo.
230103	Achieve a Full Combo.
230201	5 or less MISS notes.
230202	Earn 2 or more S ratings.
230203	Achieve a Full Combo.
230301	Earn 3 or more A ratings.
230302	Achieve a 100+ combo.
230303	Score 61000 points.
