sn	name
10034	Path of Aiyatsbus Area 1
10035	Path of Aiyatsbus Area 2
10036	Path of Aiyatsbus Area 3
10037	Path of Aiyatsbus Area 4
10038	Path of Aiyatsbus Area 5
10039	Path of Aiyatsbus Area 6
10040	Path of Aiyatsbus Area 7
10041	Path of Aiyatsbus Area 8
10042	Path of Qimranut Area 1
10043	Path of Qimranut Area 2
10044	Path of Qimranut Area 3
10045	Path of Qimranut Area 4
10046	Path of Qimranut Area 5
10047	Path of Qimranut Area 6
10048	Path of Qimranut Area 7
10049	Path of Chemdah Area 1
10050	Path of Chemdah Area 2
10051	Path of Chemdah Area 3
10052	Path of Chemdah Area 4
10053	Path of Chemdah Area 5
10054	Path of Chemdah Area 6
10055	Path of Chemdah Area 7
10056	Path Of Kaitul Area 1
10057	Path Of Kaitul Area 2
10058	Path of Kaitul Area 3
10059	Path Of Kaitul Area 4
10060	Path Of Kaitul Area 5
10061	Path Of Kaitul Area 6
10062	Path Of Kaitul Area 7
10063	Path Of Akzeriyyuth Area 1
10064	Path Of Akzeriyyuth Area 2
10065	Path of Akzeriyyuth Area 3
10066	Path Of Akzeriyyuth Area 4
10067	Path Of Akzeriyyuth Area 5
10068	Path Of Akzeriyyuth Area 6
10069	Path Of Akzeriyyuth Area 7
10070	Path Of Adyeshach Area 1
10071	Path Of Adyeshach Area 2
10072	Path of Adyeshach Area 3
10073	Path Of Adyeshach Area 4
10074	Path Of Adyeshach Area 5
10075	Path Of Adyeshach Area 6
10076	Path Of Adyeshach Area 7
10077	Path Of Sheriruth Area 1
10078	Path Of Sheriruth Area 2
10079	Path of Sheriruth Area 3
10080	Path Of Sheriruth Area 4
10081	Path Of Sheriruth Area 5
10082	Path Of Sheriruth Area 6
10083	Path Of Sheriruth Area 7
10001	Path of Qimranut Area 8
10002	Path of Aiyatsbus Area 8
10003	Path of Chemdah Area 8
10004	Path Of Kaitul Area 8
10005	Path Of Akzeriyyuth Area 8
10006	Path Of Adyeshach Area 8
10007	Path Of Sheriruth Area 8
