sn	challengGoals
816	Error: tnxotb-[Inst_challengGoals_816]
817	Error: tnxotb-[Inst_challengGoals_817]
818	Error: tnxotb-[Inst_challengGoals_818]
21809	Win within 80 turns|Reduce Jikokuten's Down Points to 0 or defeat all enemies.
21810	Win within 80 turns|Reduce Jikokuten's Down Points to 0 or defeat all enemies.
21811	Win within 80 turns|Reduce Jikokuten's Down Points to 0 or defeat all enemies.
73011	Deal higher damage to enemies within 120 turns
73061	Deal higher damage to enemies within 120 turns
73111	Deal higher damage to enemies within 120 turns
73211	Deal higher damage to enemies within 120 turns
73311	Deal higher damage to enemies within 120 turns
73361	Deal higher damage to enemies within 120 turns
73411	Deal higher damage to enemies within 120 turns
73461	Deal higher damage to enemies within 120 turns
73511	Deal higher damage to enemies within 120 turns
73611	Deal higher damage to enemies within 120 turns
73661	Deal higher damage to enemies within 120 turns
73711	Deal higher damage to enemies within 120 turns
73811	Deal higher damage to enemies within 120 turns
73561	Deal higher damage to enemies within 120 turns
73761	Deal higher damage to enemies within 120 turns
73861	Deal higher damage to enemies within 120 turns
73911	Deal higher damage to enemies within 120 turns
73961	Deal higher damage to enemies within 120 turns
74011	Deal higher damage to enemies within 120 turns
74061	Deal higher damage to enemies within 120 turns
74111	Deal higher damage to enemies within 120 turns
74161	Deal higher damage to enemies within 120 turns
