sn	name	typeName	tips	contentBG
1	Konpaku Gem	Currency	Used to train Phantom Thieves and Personas.	<color=#ffffff>  </color>
2	Cognition Crystals	Currency	Can be used for Contracts	 Arms Deals	 and recovering stamina.	<color=#ffffff>  </color>
3	Meta Jewels	Currency	Can be used for Contracts	 Arms Deals	 and recovering stamina.	<color=#ffffff>  </color>
4	Wonder EXP Credit	Currency	Experience gained from daily life activities and Metaverse exploration. Used for raising your level.	<color=#ffffff>  </color>
5	Phantom Idol EXP Credit	Currency	A symbol of a Persona's abilities. Can be used to level up Phantom Thieves.	<color=#ffffff>  </color>
6	Persona EXP Credit	Currency	A symbol of a Phantom Idol's abilities. Can be used to level up Phantom Idols.	<color=#ffffff>  </color>
7	Stamina	Currency	Energy needed to explore the Metaverse. Restores over time at a set speed.	<color=#ffffff>  </color>
8	Action Points	Currency	Energy needed for City Life activities.	<color=#ffffff>  </color>
9	NB[it][009]	Currency	Currency used among Phantom Thieves that is paid out as a reward based on the jobs a Phantom Thief completes. Can be exchanged for various materials with certain fences. 	AAAAAA==
10	NB[it][010]	Currency	Golden coins engraved with faith from certain battles.	AAAAAA==
11	Participants	Currency	Obtained after completing the Daily Pass.	AAAAAA==
12	Schema Points	Currency	Obtainable when leveling up the protagonist or making entries in the Persona Compendium. Used to level up schema skills.	<color=#ffffff>  </color>
13	NB[it][013]	Material	A badge that can be found around Shibuya. Can be exchanged for rewards with Shibuya's mascot.	AAAAAA==
14	NB[it][014]	Material	A badge that can be found around Yongen-Jaya. Can be exchanged for rewards with the Secondhand Shop manager.	AAAAAA==
15	Wild Coin S	Currency	A shard of a Persona. Can be obtained through disassembling Personas.	AAAAAA==
16	Batting Points	Currency	Obtained by playing baseball. Can be exchanged at the shop for rewards.	<color=#ffffff>  </color>
17	Wild Coin L	Currency	A crystalized soul of a Persona. Can be obtained through disassembling high-level Personas.	AAAAAA==
18	NB[it][018]	Currency	Points gainable through obtaining City Life stamps. Can be exchanged for items in the point shop.	AAAAAA==
19	Seal of Fire	Currency	Can be exchanged for buff effects for within Mementos.	AAAAAA==
20	Wingbeat Coin	Currency	Obtainable from Daily Hoot-n-Loot. Can be exchanged for rewards in the shop.	<color=#ffffff>  </color>
21	Pass Experience Credit	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
22	Money	Currency	Currency used within the city. Can be used to pay for various things within the city.	<color=#ffffff>  </color>
23	Repression Medal II	Currency	Obtainable after attempting all Persona dungeons. Can be exchanged for rewards in the Repression Medal shops.	<color=#ffffff>  </color>
