sn	desc
1001	AAAAAA==
1101	AAAAAA==
1102	AAAAAA==
1103	AAAAAA==
1201	AAAAAA==
1202	AAAAAA==
1301	AAAAAA==
1302	AAAAAA==
1303	AAAAAA==
1304	AAAAAA==
1401	AAAAAA==
1402	AAAAAA==
1403	AAAAAA==
1404	AAAAAA==
2001	AAAAAA==
2002	AAAAAA==
2003	AAAAAA==
2101	AAAAAA==
2201	AAAAAA==
2202	AAAAAA==
2203	AAAAAA==
2301	AAAAAA==
2302	AAAAAA==
2303	AAAAAA==
2401	AAAAAA==
2402	AAAAAA==
2403	AAAAAA==
2501	AAAAAA==
2502	AAAAAA==
2503	AAAAAA==
2504	AAAAAA==
2601	AAAAAA==
2602	AAAAAA==
2603	AAAAAA==
2604	AAAAAA==
2701	AAAAAA==
2702	AAAAAA==
2703	AAAAAA==
3001	AAAAAA==
3002	AAAAAA==
3003	AAAAAA==
3101	AAAAAA==
3102	AAAAAA==
3103	AAAAAA==
3104	AAAAAA==
3105	AAAAAA==
3106	AAAAAA==
3201	AAAAAA==
3202	AAAAAA==
3203	AAAAAA==
3204	AAAAAA==
3205	AAAAAA==
3206	AAAAAA==
3207	AAAAAA==
3208	AAAAAA==
3209	AAAAAA==
3210	AAAAAA==
3301	AAAAAA==
3302	AAAAAA==
3303	AAAAAA==
3304	AAAAAA==
3305	AAAAAA==
3306	AAAAAA==
3307	AAAAAA==
3308	AAAAAA==
3309	AAAAAA==
3310	AAAAAA==
3311	AAAAAA==
3312	AAAAAA==
3313	AAAAAA==
3314	AAAAAA==
3315	AAAAAA==
3401	AAAAAA==
3402	AAAAAA==
3403	AAAAAA==
3404	AAAAAA==
3405	AAAAAA==
3406	AAAAAA==
3407	AAAAAA==
3408	AAAAAA==
3409	AAAAAA==
3413	AAAAAA==
3414	AAAAAA==
3415	AAAAAA==
3410	AAAAAA==
3411	AAAAAA==
3412	AAAAAA==
