sn	desc
1	AAAAAA==
2	AAAAAA==
3	AAAAAA==
4	AAAAAA==
5	AAAAAA==
6	AAAAAA==
7	AAAAAA==
8	AAAAAA==
9	AAAAAA==
10	AAAAAA==
11	AAAAAA==
12	AAAAAA==
13	AAAAAA==
14	AAAAAA==
15	AAAAAA==
51	AAAAAA==
52	AAAAAA==
53	AAAAAA==
61	AAAAAA==
62	AAAAAA==
63	AAAAAA==
101	AAAAAA==
102	AAAAAA==
104	AAAAAA==
105	AAAAAA==
106	AAAAAA==
107	AAAAAA==
111	AAAAAA==
112	AAAAAA==
113	AAAAAA==
114	AAAAAA==
115	AAAAAA==
116	AAAAAA==
117	AAAAAA==
118	AAAAAA==
119	AAAAAA==
120	AAAAAA==
121	AAAAAA==
122	AAAAAA==
130	AAAAAA==
131	AAAAAA==
132	AAAAAA==
201	AAAAAA==
202	AAAAAA==
203	AAAAAA==
204	AAAAAA==
205	AAAAAA==
206	AAAAAA==
208	AAAAAA==
209	AAAAAA==
211	AAAAAA==
212	AAAAAA==
213	AAAAAA==
214	AAAAAA==
215	AAAAAA==
216	AAAAAA==
217	AAAAAA==
218	AAAAAA==
219	AAAAAA==
220	AAAAAA==
221	AAAAAA==
222	AAAAAA==
230	AAAAAA==
231	AAAAAA==
232	AAAAAA==
301	AAAAAA==
302	AAAAAA==
304	AAAAAA==
305	AAAAAA==
306	AAAAAA==
307	AAAAAA==
311	AAAAAA==
312	AAAAAA==
313	AAAAAA==
314	AAAAAA==
315	AAAAAA==
316	AAAAAA==
317	AAAAAA==
318	AAAAAA==
319	AAAAAA==
320	AAAAAA==
321	AAAAAA==
322	AAAAAA==
330	AAAAAA==
331	AAAAAA==
332	AAAAAA==
401	AAAAAA==
402	AAAAAA==
403	AAAAAA==
404	AAAAAA==
405	AAAAAA==
406	AAAAAA==
408	AAAAAA==
409	AAAAAA==
411	AAAAAA==
412	AAAAAA==
413	AAAAAA==
414	AAAAAA==
415	AAAAAA==
416	AAAAAA==
417	AAAAAA==
418	AAAAAA==
419	AAAAAA==
420	AAAAAA==
421	AAAAAA==
422	AAAAAA==
430	AAAAAA==
431	AAAAAA==
432	AAAAAA==
