sn	des
1	City Life Action
2	Open Current Map
3	Open Menu
4	Open Train Map
5	Open Personas
6	Open Phantom Thieves
7	Open Party
8	Open Phantom Pass
9	Open Contracts
10	Open Goals.
11	Open Event
12	Open Synergy
13	Open Mail
14	Open Missions
15	Open City Life
16	Open Bag
17	Open Address Book
18	Open Camera
19	Open Trophies
20	Open Chat
21	Open Social Media
22	Return to City Life Main Screen
23	Open Metaverse
24	Mission Tracking
25	Close (General)
26	Rhythm Game
27	Rhythm Game
28	Rhythm Game
29	Rhythm Game
30	Rhythm Game
31	Rhythm Game
32	Show Cursor
33	Open Shop
34	Exploration Items
35	Request
36	Thieves Den
50	Move
51	Trade
52	Currency
53	Palace Info
54	Collect
55	Undo Transformation
56	Total Rating
99	Gamepad Cursor Mode On/Off
101	Dash
102	Action
103	Third Eye
104	Open Area Progress
105	Wheel
106	Return To City From Metaverse
107	Attack (Remove Persona)
108	Switch Pot Contents (Chapter 3 Palace)
109	Switch Devices (Chapter 3 Palace)
110	Security Level
111	Team Edit Shortcut
112	Food Effect
117	Leave Cover
201	Baseball Third Eye
202	Swing
301	Reel In
302	Go Left
303	Go Right
304	Fishing Third Eye
305	Change Bait
311	Soccer
312	Soccer Third Eye
321	Rhythm Game Adjustment Button
331	Water Gun Attack Skill 1
332	Water Gun Attack Skill 2
333	Make Shaved Ice
401	Raise Volume
402	Lower Volume
403	Move Forward
404	Move Back
405	Move Left
406	Move Right
407	Explanation
408	Confirm
409	Switch Upper Tag (Left)
410	Switch Upper Tag (Right)
411	Cancel
412	Swap To Running
413	Auto-Play Story
414	Accelerated Playback
415	View Log (Story Review)
416	Apply for Name Change
417	Switch Lower Tag (Left)
418	Switch Lower Tag (Right)
419	Continuous Skip
420	Show PgDn Only
421	Show PgUp Only
422	Show Ctrl Only
423	Display
424	Display
425	Display
426	Display
427	Display
428	Display
429	Display
430	Display
501	Gun
502	Persona/Item
503	Changing Personas
504	Melee Attack
505	Guarding
506	Items
508	All-Out Attack
509	Settings
510	Cancel
511	Dash
512	Auto-Battle
513	Change target
514	Change target
519	Select Skill/Item
520	Select & Confirm Goals
521	Call for Support
522	Switch
528	Combat Items	 Skill Selection (Up)
529	Combat Items	 Skill Selection (Down)
530	End Battle
531	View Details
532	View Combat Tips
533	View Combat Item Info
534	View Details
550	Switch Between Allies and Enemies
551	View Attribute Seals
552	View Charms
553	View Strange Object
555	View Turn Information
1001	UE Direct Configuration Only
1002	UE Direct Configuration Only
1003	UE Direct Configuration Only
1004	UE Direct Configuration Only
1005	UE Direct Configuration Only
1006	UE Direct Configuration Only
1007	UE Direct Configuration Only
1008	UE Direct Configuration Only
1009	UE Direct Configuration Only
1010	UE Direct Configuration Only
1011	UE Direct Configuration Only
1012	UE Direct Configuration Only
1013	UE Direct Configuration Only
1014	UE Direct Configuration Only
1015	UE Direct Configuration Only
1016	UE Direct Configuration Only
1101	UE Direct Configuration Only
1102	UE Direct Configuration Only
1103	UE Direct Configuration Only
1104	UE Direct Configuration Only
1105	UE Direct Configuration Only
1106	UE Direct Configuration Only
1107	UE Direct Configuration Only
1108	UE Direct Configuration Only
1109	Picture Only
1110	Picture Only
1111	Picture Only
1112	Picture Only
1201	With Popups
1202	No Popups
1203	No Popups
2001	View Scroll Tips
2002	View Scroll Tips and Tutorials
2003	View City Life content
2004	D-pad Tips
2005	Switch upper and lower tags (L & R on gamepad/W & S on keyboard)
2006	Switch upper and lower tags (L & R on gamepad/W & S on keyboard)
2007	Hideout
2008	City Photography Mission Button
2009	Special Commands
2010	Read Scroll Tips (Multiple Areas)
2011	Hyperlink
10001	Synergy Preference
10002	Synergy Rewards
10003	Synergy File
10004	Protagonist's Schema/Phantom Thief Training
10005	Phantom Thief Weapon
10006	Phantom Thief Revelations
10007	Protagonist Persona/Phantom Thief Skills
10008	Protagonist's Skills
20000	Wheel Menu
20001	Wheel Menu Camera Zoom In
20002	Wheel Menu Camera Zoom Out
20003	Skip Story
20004	Story Next Step Key 2
20005	Story Next Step Key 3
20006	Story Next Step Key 1
20101	Popup - Confirm
20102	Popup - Cancel
20201	Share - Select File
20202	Bag - Enter Cancel Status
20203	Bag - Increase Usage Count
20204	Bag - Lower Usage Count
20205	Bag - Max Usage Count
20206	Bag - Control Button (Use	 Info	 Move	 etc.)
20207	Bag - Item Lock
20208	Bag - Display How to Get After Selecting
20301	Open Profile
20401	General Controls - Confirm Item Use
20501	Phantom Thief - Persona Deploy Screen/Persona Info
20502	Phantom Thief - Change Display
20503	Phantom Thief - Take Photo
20504	Phantom Thief - Zoom
20505	Thief Details - Select Question Mark
20209	AAAAAA==
20506	Protagonist's Info/Phantom Thief Info
20511	Deploy Personas - View Personas
20512	Deploy Personas - Confirm Party
20513	Filter - Confirm
20521	Phantom Thief Card - Fullscreen Card
20531	Phantom Thief Training - Expand List
20532	Phantom Thief Training - Overclock/Awareness Info
20533	Phantom Thief Training - Quick Select
20534	Phantom Thief Training - Select Status
20535	Phantom Thief Training - Level Up Controls
20536	Materials Only
20888	End Japanese TGS Trial
99990	Attack	 Cattlemobile Attack	 Surprise Attack
99991	Attack	 Cattlemobile Attack	 Surprise Attack
