sn	name	desc	strName
10001	Café	<color=#ffffff>  </color>	AAAAAA==
10002	Hiyori Koide	AAAAAA==	AAAAAA==
10004	Clinic	<color=#ffffff>  </color>	AAAAAA==
10005	Batting Cages (Locked)	AAAAAA==	AAAAAA==
10006	Batting Cages	<color=#ffffff>  </color>	AAAAAA==
10007	Movie Theater	<color=#ffffff>  </color>	AAAAAA==
10008	Placeholder Cat Figure	AAAAAA==	AAAAAA==
10009	Kazuhiko Tsuda	AAAAAA==	AAAAAA==
10010	Bathhouse	<color=#ffffff>  </color>	AAAAAA==
10011	Secondhand Shop	<color=#ffffff>  </color>	AAAAAA==
10012	Intriguing Building	AAAAAA==	AAAAAA==
10013	Supermarket	<color=#ffffff>  </color>	AAAAAA==
10014	Vending Machine	<color=#ffffff>  </color>	AAAAAA==
10015	Old Apartment	AAAAAA==	AAAAAA==
10016	Residential District	AAAAAA==	AAAAAA==
10017	Backstreets	AAAAAA==	AAAAAA==
10018	Tobacco Store	AAAAAA==	AAAAAA==
10019	Izakaya	AAAAAA==	AAAAAA==
10020	Dining Bar	AAAAAA==	AAAAAA==
10021	International Restaurant	AAAAAA==	AAAAAA==
10022	Stacked Ingredients	AAAAAA==	AAAAAA==
10023	Postbox	AAAAAA==	AAAAAA==
10024	Backstreets	<color=#ffffff>  </color>	AAAAAA==
10025	Listen to conversation	AAAAAA==	AAAAAA==
10026	Listen to conversation	AAAAAA==	AAAAAA==
10027	Listen to conversation	AAAAAA==	AAAAAA==
10028	Girl Collecting Donations	AAAAAA==	AAAAAA==
10029	Hiyori Koide	AAAAAA==	AAAAAA==
10030	Hiyori Koide	AAAAAA==	AAAAAA==
10031	Yellow Cat	AAAAAA==	AAAAAA==
10032	Gray Cat	AAAAAA==	AAAAAA==
10033	Black and White Cat	AAAAAA==	AAAAAA==
10034	Yaoling Li	<color=#ffffff>  </color>	AAAAAA==
10050	Apartment Exterior Wall	AAAAAA==	AAAAAA==
10051	Orange Tabby	AAAAAA==	AAAAAA==
10059	Kazuhiko Tsuda	AAAAAA==	AAAAAA==
10060	Supermarket Employee	AAAAAA==	AAAAAA==
10061	Solitary Old Man	AAAAAA==	AAAAAA==
10062	Man in a Suit	AAAAAA==	AAAAAA==
10063	Bored Man	AAAAAA==	AAAAAA==
10064	Café	<color=#ffffff>  </color>	AAAAAA==
10065	Café	<color=#ffffff>  </color>	AAAAAA==
10099	Motoha Arai	AAAAAA==	AAAAAA==
10100	Interrogation Room Guard	AAAAAA==	AAAAAA==
10101	Resident	AAAAAA==	AAAAAA==
10102	Station	AAAAAA==	AAAAAA==
10104	Resident	AAAAAA==	AAAAAA==
10105	Mysterious Traces	AAAAAA==	AAAAAA==
10106	Gray Cat	AAAAAA==	AAAAAA==
10108	Black and White Cat	AAAAAA==	AAAAAA==
10109	Kazuhiko Tsuda	AAAAAA==	AAAAAA==
10110	Orthopedic Clinic	AAAAAA==	AAAAAA==
10111	Listen to conversation	AAAAAA==	AAAAAA==
10112	Laundromat	AAAAAA==	AAAAAA==
10300	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10301	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10302	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10303	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10304	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10305	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
10306	Stray Cat	AAAAAA==	AAAAAA==
10307	Tabby's Treasure Hunt	AAAAAA==	AAAAAA==
11001	Go to Yongen-Jaya	AAAAAA==	AAAAAA==
11010	No Entry	AAAAAA==	AAAAAA==
11011	Ren Amamiya	AAAAAA==	AAAAAA==
11012	Ren Amamiya	AAAAAA==	AAAAAA==
11013	Ren Amamiya	AAAAAA==	AAAAAA==
11014	Ren Amamiya	AAAAAA==	AAAAAA==
11015	Ren Amamiya	AAAAAA==	AAAAAA==
11021	Morgana	AAAAAA==	AAAAAA==
11022	Morgana	AAAAAA==	AAAAAA==
11023	Morgana	AAAAAA==	AAAAAA==
11024	Morgana	AAAAAA==	AAAAAA==
11025	Morgana	AAAAAA==	AAAAAA==
11031	Ryuji Sakamoto	AAAAAA==	AAAAAA==
11032	Ryuji Sakamoto	AAAAAA==	AAAAAA==
11033	Ryuji Sakamoto	AAAAAA==	AAAAAA==
11034	Ryuji Sakamoto	AAAAAA==	AAAAAA==
11035	Ryuji Sakamoto	AAAAAA==	AAAAAA==
11041	Ann Takamaki	AAAAAA==	AAAAAA==
11042	Ann Takamaki	AAAAAA==	AAAAAA==
11043	Ann Takamaki	AAAAAA==	AAAAAA==
11044	Ann Takamaki	AAAAAA==	AAAAAA==
11045	Ann Takamaki	AAAAAA==	AAAAAA==
11051	Yusuke Kitagawa	AAAAAA==	AAAAAA==
11052	Yusuke Kitagawa	AAAAAA==	AAAAAA==
11053	Yusuke Kitagawa	AAAAAA==	AAAAAA==
11054	Yusuke Kitagawa	AAAAAA==	AAAAAA==
11055	Yusuke Kitagawa	AAAAAA==	AAAAAA==
11061	Makoto Niijima	AAAAAA==	AAAAAA==
11062	Makoto Niijima	AAAAAA==	AAAAAA==
11063	Makoto Niijima	AAAAAA==	AAAAAA==
11064	Makoto Niijima	AAAAAA==	AAAAAA==
11065	Makoto Niijima	AAAAAA==	AAAAAA==
11071	Futaba Sakura	AAAAAA==	AAAAAA==
11072	Futaba Sakura	AAAAAA==	AAAAAA==
11073	Futaba Sakura	AAAAAA==	AAAAAA==
11074	Futaba Sakura	AAAAAA==	AAAAAA==
11075	Futaba Sakura	AAAAAA==	AAAAAA==
11081	Haru Okumura	AAAAAA==	AAAAAA==
11082	Haru Okumura	AAAAAA==	AAAAAA==
11083	Haru Okumura	AAAAAA==	AAAAAA==
11084	Haru Okumura	AAAAAA==	AAAAAA==
11085	Haru Okumura	AAAAAA==	AAAAAA==
11401	Cheerful Punk	AAAAAA==	AAAAAA==
11402	Cheerful Girl	AAAAAA==	AAAAAA==
11403	Artistic Boy	AAAAAA==	AAAAAA==
11404	Honor Student-like Girl	AAAAAA==	AAAAAA==
11405	Girl Wearing Glasses	AAAAAA==	AAAAAA==
11406	Courteous Girl	AAAAAA==	AAAAAA==
11501	Coffee	AAAAAA==	AAAAAA==
11502	Empty Curry Plate	AAAAAA==	AAAAAA==
11503	Textbook	AAAAAA==	AAAAAA==
11504	Textbook	AAAAAA==	AAAAAA==
11505	Computer	AAAAAA==	AAAAAA==
12001	Languid Doctor	AAAAAA==	AAAAAA==
12002	Go to Yongen-Jaya	AAAAAA==	AAAAAA==
12003	Tae Takemi	AAAAAA==	AAAAAA==
13001	Employee	AAAAAA==	AAAAAA==
19001	Yongen-Jaya (Night)	AAAAAA==	AAAAAA==
2104000	Thieving Cat's Footprints 1	AAAAAA==	AAAAAA==
2104001	Thieving Cat's Footprints 2	AAAAAA==	AAAAAA==
2104002	Thieving Cat's Footprints 3	AAAAAA==	AAAAAA==
2104010	Café Signboard	AAAAAA==	AAAAAA==
20001001	Shadow Soldier	AAAAAA==	AAAAAA==
20001002	Shadow Soldier	AAAAAA==	AAAAAA==
20001003	Shadow Soldier	AAAAAA==	AAAAAA==
20001004	Shadow Soldier	AAAAAA==	AAAAAA==
20001005	Shadow Soldier	AAAAAA==	AAAAAA==
20001006	Shadow Soldier	AAAAAA==	AAAAAA==
20001007	Shadow Soldier	AAAAAA==	AAAAAA==
20001008	Shadow Soldier	AAAAAA==	AAAAAA==
20001009	Shadow Soldier	AAAAAA==	AAAAAA==
20001010	Shadow Soldier	AAAAAA==	AAAAAA==
20001011	Shadow Soldier	AAAAAA==	AAAAAA==
20001012	Shadow Soldier	AAAAAA==	AAAAAA==
20001013	Shadow Soldier	AAAAAA==	AAAAAA==
20001014	Shadow Soldier	AAAAAA==	AAAAAA==
20001015	Shadow Soldier	AAAAAA==	AAAAAA==
20001016	Shadow Soldier	AAAAAA==	AAAAAA==
20001017	Shadow Soldier	AAAAAA==	AAAAAA==
20002001	Shadow Soldier	AAAAAA==	AAAAAA==
20002002	Shadow Soldier	AAAAAA==	AAAAAA==
20002003	Shadow Soldier	AAAAAA==	AAAAAA==
20002004	Shadow Soldier	AAAAAA==	AAAAAA==
20002005	Shadow Soldier	AAAAAA==	AAAAAA==
20003001	Shadow Soldier	AAAAAA==	AAAAAA==
20003002	Shadow Soldier	AAAAAA==	AAAAAA==
20003003	Shadow Soldier	AAAAAA==	AAAAAA==
20003004	Shadow Soldier	AAAAAA==	AAAAAA==
20011000	Shadow Security Guard	AAAAAA==	AAAAAA==
20011010	Shadow Security Guard	AAAAAA==	AAAAAA==
20012010	Shadow Security Guard	AAAAAA==	AAAAAA==
20013010	Shadow Security Guard	AAAAAA==	AAAAAA==
20021001	Shadow Soldier	AAAAAA==	AAAAAA==
20021002	Shadow Soldier	AAAAAA==	AAAAAA==
20021003	Shadow Soldier	AAAAAA==	AAAAAA==
20021004	Shadow Soldier	AAAAAA==	AAAAAA==
20021005	Shadow Soldier	AAAAAA==	AAAAAA==
20021006	Shadow Soldier	AAAAAA==	AAAAAA==
20021007	Shadow Soldier	AAAAAA==	AAAAAA==
20021008	Shadow Lord	AAAAAA==	AAAAAA==
20021009	Shadow Soldier	AAAAAA==	AAAAAA==
20021010	Shadow Soldier	AAAAAA==	AAAAAA==
20021011	Shadow Soldier	AAAAAA==	AAAAAA==
20021012	Shadow Soldier	AAAAAA==	AAAAAA==
20021013	Shadow Soldier	AAAAAA==	AAAAAA==
20021014	Shadow Soldier	AAAAAA==	AAAAAA==
20021015	Shadow Soldier	AAAAAA==	AAAAAA==
20022001	Shadow Soldier	AAAAAA==	AAAAAA==
