sn	funcName	clientName	clientDesc
10101	Work at the bookstore	Work at the bookstore	The bookstore in Shinjuku is hiring. Maybe I should check it out...
10102	Work at the bookstore	Work at the bookstore	I could work at the bookstore in Shinjuku...
10103	Work at the bookstore	Work at the bookstore	The bookstore in Shinjuku is really busy today. Maybe I should help out...
10104	Work at the bookstore	Work at the bookstore	There's an event going on at the bookstore in Shinjuku today. Maybe I should help out...
10105	Work at the bookstore	Work at the bookstore	The bookstore in Shinjuku is short-staffed today. Maybe I could go help take care of customers...
10106	Work at the bookstore	Work at the bookstore	The bookstore in Shinjuku needs some help today. I could go help organize shelves...
10107	Work at the bookstore	Work at the bookstore	There's an event going on at the bookstore in Shinjuku today. Maybe I should help out...
10201	Work at the convenience store	Work at the convenience store	The convenience store in Shibuya is hiring. I should check it out...
10202	Work at the convenience store	Work at the convenience store	I could work at the convenience store in Shibuya...
10203	Work at the convenience store	Work at the convenience store	The convenience store in Shibuya is really busy today. Maybe I should help out...
10204	Work at the convenience store	Work at the convenience store	The bookstore in Shibuya is short-staffed today. I could go help take care of customers...
10205	Work at the convenience store	Work at the convenience store	The bookstore in Shibuya is low on hands today. I'll do what I can to help...
10206	Work at the convenience store	Work at the convenience store	The bookstore in Shibuya is short-staffed today. I should go help out...
10207	Work at the convenience store	Work at the convenience store	Maybe I should work at the convenience store in Shibuya today...
10301	Work at the flower shop	Work at the flower shop	The flower shop in the Shibuya underground mall is hiring. Maybe I should check it out...
10302	Work at the flower shop	Work at the flower shop	I could work at the flower shop in Shibuya...
10303	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya seems short-staffed today...
10304	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya is especially busy today. I should go help out if I have time...
10305	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya is short-staffed today. I should go help out...
10306	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya seems understaffed today. I could go help pick out flowers...
10307	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya is busier than usual today. Seems like they need some help...
10308	Work at the flower shop	Work at the flower shop	The flower shop in Shibuya seems like it could use some help...
10309	Work at the flower shop	Work at the flower shop	I could help out at the flower shop in the Shibuya underground mall again today...
10401	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant in Shibuya is hiring part-time help. Maybe I should check it out...
10402	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant in Shibuya is packed today. Maybe I should help out...
10403	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant in Shibuya is short-staffed today. I'll do what I can...
10404	Work at the beef bowl shop	Work at the beef bowl shop	I can work at the beef bowl restaurant in Shibuya. Maybe I should go there...
10405	Work at the beef bowl shop	Work at the beef bowl shop	Maybe I should help out at the beef bowl restaurant in Shibuya...
10406	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant seems to be understaffed today. I could go there if I have some time...
10407	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant in Shibuya seems like they could use some help. I could go take care of some customers...
10408	Work at the beef bowl shop	Work at the beef bowl shop	I could go work at the beef bowl restaurant in Shibuya today...
10409	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant is low on hands today...
10410	Work at the beef bowl shop	Work at the beef bowl shop	I could take a shift at the beef bowl restaurant in Shibuya. Maybe I should help out...
10411	Work at the beef bowl shop	Work at the beef bowl shop	Looks like I could take a shift at the beef bowl restaurant in Shibuya today. I'll do my best...
10412	Work at the beef bowl shop	Work at the beef bowl shop	There's some open shifts at the beef bowl restaurant in Shibuya today...
10501	Work at the crêpe shop	Work at the crêpe shop	The crêpe shop in the Shibuya shopping district seems to be hiring. Maybe I'll check it out...
10502	Work at the crêpe shop	Work at the crêpe shop	The crêpe shop seems busy today...
10503	Work at the crêpe shop	Work at the crêpe shop	The crêpe shop in Shibuya called and said they needed help...
10504	Work at the crêpe shop	Work at the crêpe shop	The crêpe shop in Shibuya is short-staffed today. Maybe I should go over there...
10505	Work at the crêpe shop	Work at the crêpe shop	I could work at the crêpe shop in Shibuya...
10601	Work at the drugstore	Work at the drugstore	The drugstore in Shibuya is hiring. I could go check it out...
10602	Work at the drugstore	Work at the drugstore	The drugstore in Shibuya seems really busy today. I should go there if I have some time...
10603	Work at the drugstore	Work at the drugstore	The drugstore in Shibuya seems short-staffed again today...
10604	Work at the drugstore	Work at the drugstore	The drugstore in Shibuya is really busy today...
10605	Work at the drugstore	Work at the drugstore	I could go work at the drugstore in Shibuya...
10606	Work at the drugstore	Work at the drugstore	I can take a shift at the drugstore in Shibuya today...
10701	Work at Heritage Kitchen	Work at Heritage Kitchen	Heritage Kitchen is hiring part-time help. Maybe I should go over there...
10702	Work at Heritage Kitchen	Work at Heritage Kitchen	I can help out at Heritage Kitchen today...
10703	Work at Heritage Kitchen	Work at Heritage Kitchen	Looks like Heritage Kitchen is packed with customers today...
10704	Work at Heritage Kitchen	Work at Heritage Kitchen	I can help out at Heritage Kitchen today...
10705	Work at Heritage Kitchen	Work at Heritage Kitchen	Maybe I should work at Heritage Kitchen today...
10706	Work at Heritage Kitchen	Work at Heritage Kitchen	Heritage Kitchen seems understaffed today...
10707	Work at Heritage Kitchen	Work at Heritage Kitchen	Heritage Kitchen is pretty busy today. I could go help out...
10708	Work at Heritage Kitchen	Work at Heritage Kitchen	I can help out at Heritage Kitchen today...
10709	Work at Heritage Kitchen	Work at Heritage Kitchen	I should see if I can help out with anything at Heritage Kitchen today...
10710	Work at Heritage Kitchen	Work at Heritage Kitchen	Heritage Kitchen seems unusually busy today...
10801	Work at the fried food store	Work at the fried food store	The fried food store in Kichijoji is hiring. Maybe I should go there...
10802	Work at the fried food store	Work at the fried food store	The fried food store in Kichijoji could use some help today...
10803	Work at the fried food store	Work at the fried food store	The fried food store in Kichijoji looks packed today. Maybe I should help out...
10804	Work at the fried food store	Work at the fried food store	The fried food store in Kichijoji seems to be understaffed today...
