sn	name	floorName	mapTreeRoot
100	Main Stadium Entrance	AAAAAA==	AAAAAA==
101	Exhibition Hall	Exhibition Hall 1F	Exhibition Hall 2F	AAAAAA==
102	Training Hall	AAAAAA==	AAAAAA==
104	Club	Club 1F	Club 2F	Club 3F	AAAAAA==
105	Southern Rooftop	AAAAAA==	AAAAAA==
106	Center Field	AAAAAA==	AAAAAA==
107	Northern Rooftop	AAAAAA==	AAAAAA==
200	Castle Forest	AAAAAA==	AAAAAA==
201	Palace Gate	AAAAAA==	AAAAAA==
202	Film Studio	AAAAAA==	AAAAAA==
210	Third Bailey	AAAAAA==	AAAAAA==
220	Second Bailey	AAAAAA==	AAAAAA==
221	Main Bailey	AAAAAA==	AAAAAA==
222	Castle Keep Depths	AAAAAA==	AAAAAA==
223	Castle Keep Mid-Level	AAAAAA==	AAAAAA==
224	Castle Keep Summit	AAAAAA==	AAAAAA==
225	Western Exterior	AAAAAA==	AAAAAA==
226	Eastern Exterior	AAAAAA==	AAAAAA==
300	Palace Exterior	AAAAAA==	AAAAAA==
301	Dam Entrance	AAAAAA==	AAAAAA==
302	Memorial Plaza	AAAAAA==	AAAAAA==
303	Dam Summit	AAAAAA==	AAAAAA==
304	Opposite Shore	AAAAAA==	AAAAAA==
310	Water Treatment Plant	AAAAAA==	AAAAAA==
311	Water Treatment Plant Lower Level	AAAAAA==	Water Treatment Plant
312	Water Treatment Plant Mid-Level	AAAAAA==	Water Treatment Plant
313	Water Treatment Plant Upper Level	AAAAAA==	Water Treatment Plant
314	Water Treatment Plant Tunnel	AAAAAA==	Water Treatment Plant
320	Power Plant	AAAAAA==	AAAAAA==
321	Power Plant 1F	AAAAAA==	Power Plant
322	Power Plant 2F	AAAAAA==	Power Plant
323	Power Plant 3F	AAAAAA==	Power Plant
324	Control Center Lower Level	AAAAAA==	Control Center
325	Control Center ???	AAAAAA==	Intake Tower
326	Control Center Upper Level	AAAAAA==	Control Center
327	Central Plaza	AAAAAA==	Control Center
328	Core Monitoring Room	AAAAAA==	Control Center
9999	Test GM Scene	AAAAAA==	AAAAAA==
