sn	desc
1	Defeat strong enemies
2	Collect Orbs of Greed
3	Open Chests
4	Defeat strong enemies
5	Open Chests
6	Collect Orbs of Greed
7	Open Chests
8	Collect Orbs of Greed
9	Open Chests
10	Defeat strong enemies
11	Collect Orbs of Greed
12	Open Chests
13	Defeat strong enemies
14	Collect Orbs of Greed
15	Open Chests
16	Collect Orbs of Greed
17	Open Chests
18	Defeat strong enemies
19	Collect Orbs of Greed
20	Defeat strong enemies
21	Open Chests
22	Collect Orbs of Greed
23	Defeat strong enemies
24	Open Chests
25	Collect Orbs of Greed
26	Defeat strong enemies
27	Open Chests
28	Collect Orbs of Greed
29	Open Chests
30	Collect Orbs of Greed
31	Defeat strong enemies
32	Open Chests
33	Defeat strong enemies
34	Collect Orbs of Greed
35	Open Chests
36	Defeat strong enemies
37	Collect Anniversary Albums
38	Open Chests
39	Defeat strong enemies
40	Collect Anniversary Albums
41	Open Chests
42	Defeat strong enemies
43	Collect Anniversary Albums
44	Open Chests
45	Defeat strong enemies
46	Collect Anniversary Albums
47	Defeat strong enemies
48	Open Chests
49	Defeat strong enemies
50	Open Chests
51	Defeat strong enemies
52	Collect Anniversary Albums
53	Open Chests
54	Defeat strong enemies
55	Collect Anniversary Albums
56	Open Chests
57	Defeat strong enemies
58	Collect Anniversary Albums
59	Open Chests
60	Collect Anniversary Albums
61	Open Chests
62	Collect Bank Cards
63	Open Chests
64	Collect Bank Cards
65	Defeat strong enemies
66	Open Chests
67	Collect Bank Cards
68	Defeat strong enemies
69	Open Chests
70	Collect Bank Cards
71	Open Chests
72	Collect Bank Cards
73	Defeat strong enemies
74	Open Chests
75	Collect Bank Cards
76	Open Chests
77	Collect Bank Cards
78	Open Chests
79	Collect Bank Cards
80	Defeat strong enemies
81	Open Chests
82	Collect Bank Cards
83	Defeat strong enemies
84	Open Chests
85	Collect Bank Cards
86	Defeat strong enemies
87	Open Chests
88	Defeat strong enemies
89	Collect Commemorative Coins
90	Open Chests
91	Defeat strong enemies
92	Collect Commemorative Coins
93	Open Chests
94	Defeat strong enemies
95	Collect Commemorative Coins
96	Open Chests
97	Defeat strong enemies
98	Collect Commemorative Coins
99	Open Chests
100	Defeat strong enemies
101	Collect Commemorative Coins
102	Open Chests
103	Defeat strong enemies
104	Collect Commemorative Coins
105	Open Chests
106	Defeat strong enemies
107	Collect Commemorative Coins
108	Open Chests
109	Defeat strong enemies
110	Collect Commemorative Coins
111	Open Chests
112	Defeat strong enemies
113	Collect Commemorative Coins
114	Defeat strong enemies
115	Open Chests
116	Defeat strong enemies
117	Collect Commemorative Coins
118	Open Chests
119	Defeat strong enemies
120	Collect Commemorative Coins
121	Open Chests
122	Defeat strong enemies
123	Collect Commemorative Coins
124	Open Chests
125	Defeat strong enemies
126	Collect Commemorative Coins
127	Open Chests
128	Defeat strong enemies
129	Collect Commemorative Coins
130	Open Chests
131	Defeat strong enemies
132	Collect Commemorative Coins
133	Open Chests
134	Defeat strong enemies
135	Collect Commemorative Coins
136	Open Chests
137	Defeat strong enemies
138	Collect Commemorative Coins
139	Open Chests
140	Defeat strong enemies
141	Collect Commemorative Coins
142	Defeat strong enemies
