sn	palaceObjectText
201	Area 1 North Side
202	Area 1 North Side
204	Area 2 East Side
206	Area 2 North Side
208	Area 3 East Side
210	Area 3 Southeast Side
212	Area 3 Northeast Side
215	Area 3 Northwest Side
217	Area 4 Front North Side
301	Area 1 North Side
302	Area 1 North Side
303	Area 2 North Side
304	Area 2 North Side
305	Area 3 North Side
306	Area 3 North Side
307	Area 4 Southeast Side
308	Area 4 North Side
311	Area 3 West Side
314	Area 3 Southwest Side
317	Area 4 Northwest Side
401	Area 1 North Side
402	Area 1 Northeast Side
403	Area 1 Front North Side
404	Area 2 Northeast Side
405	Area 2 East Side
407	Area 3 Northeast Side
409	Area 2 Front East Side
412	Area 3 Southeast Side
414	Area 4 South Side
415	Area 4 North Side
416	Area 4 Front North Side
417	AAAAAA==
418	AAAAAA==
419	AAAAAA==
420	Area 4 Southeast Side
422	AAAAAA==
