sn	lockDesc	resultsDesc
1001	• Evolve Jánošík to Rank 8. 	Increases Protagonist's damage by 2% (effective in battle).
1004	• Attain 8★ in Trials from the Sea of Souls (effective from the next season). 	Increases party's damage by 1.5% in Nightmare's Gateway (effective in battle).
1009	• Reach a score of 10	000	000 in Nightmare's Gateway. 	Increases party's damage by 1% in Trials from the Sea of Souls (effective in battle).
1012	• Attain 3★ in Trials from the Sea of Souls (effective from the next season). 	Increases party's damage by 0.5% in Nightmare's Gateway (effective in battle).
1013	• Attain 6★ in Trials from the Sea of Souls (effective from the next season). 	Increases party's damage by 1% in Nightmare's Gateway (effective in battle).
1014	• Reach a score of 5	000	000 in Nightmare's Gateway. 	Increases party's damage by 0.5% in Trials from the Sea of Souls (effective in battle).
1020	• Raise 4 Phantom Thieves to Lv. 20. 	Increases party's damage by 0.5% (effective in battle).
1023	• Reach a score of 50	000	000 in Nightmare's Gateway. 	Increases party's damage by 1.5% in Trials from the Sea of Souls (effective in battle).
1024	• Raise Wonder to level 20. 	Increases ally HP by 20 (effective in battle).
1025	• Reach a score of 1	000	000 in Nightmare's Gateway. 	Increases party's damage by 0.25% in Trials from the Sea of Souls (effective in battle).
1027	• Clear Lair of Arcane Flame stage 25 in the Velvet Trials. 	Increases party's Fire and Psychokinesis damage by 0.5% (effective in battle).
1028	• Attain 7★ in Trials from the Sea of Souls for 3 seasons (effective from the next season). 	Increases party's damage by 1.5% in Nightmare's Gateway (effective in battle).
1029	• Reach a score of 30	000	000 in Nightmare's Gateway 10 times. 	Increases party's damage by 1.5% in Trials from the Sea of Souls (effective in battle).
1030	• Clear Technician stage 30 in the Velvet Trials. 	Increases party's Physical and Gun damage by 0.5% (effective in battle).
1031	• Clear Nuclear Winter stage 25 in the Velvet Trials. 	Increases party's Ice and Nuclear damage by 0.5% (effective in battle).
1032	• Clear Thunderous Blessing stage 25 in the Velvet Trials. 	Increases party's Electric and Bless damage by 0.5% (effective in battle).
1033	• Clear An Ill Wind stage 25 in the Velvet Trials. 	Increases party's Wind and Curse damage by 0.5% (effective in battle).
1034	• Clear Technician stage 10 in the Velvet Trials. 	Increases party's Physical and Gun damage by 0.3% (effective in battle).
1035	• Clear Technician stage 20 in the Velvet Trials. 	Increases party's Physical and Gun damage by 0.4% (effective in battle).
1036	• Clear Nuclear Winter stage 5 in the Velvet Trials. 	Increases party's Ice and Nuclear damage by 0.3% (effective in battle).
1037	• Clear Thunderous Blessing stage 5 in the Velvet Trials. 	Increases party's Electric and Bless damage by 0.3% (effective in battle).
1038	• Clear An Ill Wind stage 5 in the Velvet Trials. 	Increases party's Wind and Curse damage by 0.3% (effective in battle).
1039	• Clear Lair of Arcane Flame stage 5 in the Velvet Trials. 	Increases party's Fire and Psychokinesis damage by 0.3% (effective in battle).
1040	• Clear Lair of Arcane Flame stage 15 in the Velvet Trials. 	Increases party's Fire and Psychokinesis damage by 0.4% (effective in battle).
1041	• Clear Nuclear Winter stage 15 in the Velvet Trials. 	Increases party's Ice and Nuclear damage by 0.4% (effective in battle).
1042	• Clear Thunderous Blessing stage 15 in the Velvet Trials. 	Increases party's Electric and Bless damage by 0.4% (effective in battle).
