sn	interactionTxt
jiguan_emptyModel1-1_tong_tongdao	Open Door
union_cardTable_test	Sit
union_cardTable	Sit
union_cardTable1	Sit
union_cardTable2	Sit
union_cardTable3	Sit
union_cardTable4	Sit
union_cardTable5	Sit
shatan_emptyModelUnionTable1	Sit Down
shatan_emptyModelUnionTable2	Sit Down
shatan_emptyModelUnionTable3	Lie Down
shatan_emptyModelUnionTable4	Sit Down
dong_in	Proceed
dong_out	Leave
yxkj_Door_tieliandamen	Ram
yxkj_Door_tieliandamen_hong	Ram
yxkj_Door_tieliandamen_huang	Ram
yxkj_Door_tieliandamen_hong_suo	Ram
yxkj02_SingleWay_Door	Ram
yxkj01_SingleWay_Door	Ram
yxkj03_SingleWay_Door	Ram
yxkj_SingleWayNotPass	Ram
yxkj_common_dianxiang	Fan Power
yxkj_HardChest_blue	Treasure Chest
yxkj_HardChest_purple	Treasure Chest
yxkj_HardChest_gold	Treasure Chest
yxkj_zudang_wu	Unlock
yxkj_quyuzudang	Open
yxkj_Mainquyuzudang	Open
yxkj_tiaozhan_chufa	Shadow Hunting Grounds
yxkj_persona_chufa_01	Shadow Hunting Grounds
yxkj_persona_chufa_02	Shadow Hunting Grounds
yxkj_persona_chufa_03	Shadow Hunting Grounds
yxkj_persona_chufa_04	Shadow Hunting Grounds
yxkj_persona_chufa_05	Shadow Hunting Grounds
yxkj_persona_chufa_06	Shadow Hunting Grounds
yxkj_common_baoxiang_blue	Treasure Chest
yxkj_common_baoxiang_purple	Treasure Chest
yxkj_common_baoxiang_gold	Treasure Chest
yxkj_tielianbaoxiang_blue	Treasure Chest
yxkj_tielianbaoxiang_purple	Treasure Chest
yxkj_tielianbaoxiang_gold	Treasure Chest
yxkj_tielianbaoxiang_blue02	Treasure Chest
yxkj_tielianbaoxiang_purple02	Treasure Chest
yxkj_tielianbaoxiang_gold02	Treasure Chest
yxkj03_fengshan_01	Ram
yxkj03_fengshan_01_jia	Ram
yxkj03_fengshan_02	Ram
yxkj03_fengshan_01_ruo	Ram
yxkj03_fengshan_02_ruo	Ram
yxkj03_fengshan_01_switch	Ram
jiguan_trigger_rope_ysc01	Grappling Hook
jiguan_trigger_rope_ysc01_back	Grappling Hook
jiguan_trigger_rope_ysc02	Grappling Hook
jiguan_trigger_rope_ysc03	Grappling Hook
jiguan_trigger_rope_ysc04	Grappling Hook
jiguan_trigger_rope_ysc05	Grappling Hook
jiguan_trigger_rope_ysc06	Grappling Hook
jiguan_trigger_rope_ysc07	Grappling Hook
jiguan_trigger_rope_ysc08	Grappling Hook
jiguan_trigger_rope_ysc09	Grappling Hook
jiguan_trigger_rope_ysc10	Grappling Hook
jiguan_trigger_rope_ysc11	Grappling Hook
jiguan_trigger_rope_ysc12	Grappling Hook
jiguan_trigger_rope_ysc13	Grappling Hook
clb_empty	Repair
clb_empty_02	Repair
bqg_benlei_guidedisplay	Control Monitor
bqg_benlei_guidedisplay_dummy	Control Monitor
bqg_benlei_guidedisplay_x2	Control Monitor
bqg_benlei_guidedisplay_x3	Control Monitor
bqg_benlei_guidedisplay_x4	Control Monitor
bqg_benlei_guidedisplay_x5	Control Monitor
bqg_benlei_guidedisplay_x6	Control Monitor
bqg_benlei_guidepad01	Exhibit
bqg_benlei_guidepad01_noCam	Exhibit
bqg_benlei_guidepad01_thumb	Exhibit
bqg_benlei_guidepad02	Exhibit
bqg_benlei_guidepad02_thumb	Exhibit
bqg_common_ditujia	Map
bqg_common_fanmaiji_k	Research
bqg_common_door_mendeng01	Open Door
bqg_common_door_mendeng02	Open Door
bqg_common_trigger_door_oneway	Open Door
bqg_common_door_small	Open Door
bqg_common_door_small_oneway	Open Door
bqg_common_door_large	Open Door
bqg_common_door_large_oneway	Open Door
bqg_club_door_small	Open Door
bqg_club_door_small_oneway	Open Door
bqg_club_door_large01	Open Door
bqg_club_door_large02	Open Door
bqg_jiguan_chekumen_01	Proceed
bqg_jiguan_chekumen_02	Proceed
bqg_common_diantimen	Take the elevator
bqg_common_dianzimen	Open Door
bqc_common_baoxianglv1	Treasure Chest
bqc_common_baoxianglv2	Treasure Chest
bqc_common_baoxianglv2_locked	Treasure Chest
bqc_common_baoxianglv3	Treasure Chest
bqc_common_baoxianglv3_locked	Treasure Chest
bqg_common_baoxiang_lv1	Treasure Chest
bqg_common_baoxiang_lv2	Treasure Chest
bqg_common_baoxiang_lv2_locked	Treasure Chest
bqg_common_baoxiang_lv3	Treasure Chest
bqg_common_baoxiang_lv3_locked	Treasure Chest
bqg_common_bangqiubaoxiang	Treasure Chest
bqg_zhuanpan	Change Direction
bqg_chuansongdian	Proceed
bqg_chuansongdian_empty	Proceed
TELEPORT_bqg_chuansongdian_empty	Proceed
TELEPORT_bqg_jiguan_chekumen_01	Proceed
TELEPORT_bqg_benlei_C1toE1	Proceed
TELEPORT_bqg_benlei_E1toC1	Proceed
TELEPORT_bqg_common_diantimen	Take the elevator
TELEPORT_bqg_club_door_small	Open Door
TELEPORT_bqg_club_door_large01	Open Door
TELEPORT_bqg_club_door_large02	Open Door
TELEPORT_bqg_dong_in	Proceed
bqg_chuansongdian_door_small	Open Door
bqg_chuansongdian_door_large	Open Door
bqg_chuansongdian_dong_in	Proceed
bqg_chuansongdian_club_door_small	Open Door
bqg_chuansongdian_club_door_large01	Open Door
bqg_chuansongdian_club_door_large02	Open Door
bqg_chuansongdian_dianzimen	Open Door
bqg_common_kongzhiqiD	Card Reader
bqg_common_kongzhiqiC	Card Reader
bqg_common_kongzhiqiB	Card Reader
bqg_common_kongzhiqiA	Card Reader
bqg_common_kongzhiqiS	Card Reader
bqc_common_bangqiuguisuo_yellow01	Baseball Case
bqc_common_bangqiuguisuo_yellow03	Baseball Case
bqc_common_bangqiuguisuo_pink01	Baseball Case
bqc_common_bangqiuguisuo_pink03	Baseball Case
bqc_common_bangqiuguisuo_blue01	Baseball Case
bqc_common_bangqiuguisuo_blue02	Baseball Case
bqg_common_bangqiuguisuo_holder01	Baseball Stand
bqg_common_bangqiuguisuo_holder01_pingfang	Baseball Stand
