sn	projectDesc
1	Mysterious Treasure Chest
2	Safe Room
3	Unlock Map
4	Defeat a strong enemy
5	Collect Item
6	Mysterious Treasure Chest
7	Safe Room
8	Unlock Map
9	Defeat a strong enemy
10	Mysterious Treasure Chest
11	Safe Room
12	Unlock Map
13	Defeat a strong enemy
14	Collect Item
15	Mysterious Treasure Chest
16	Safe Room
17	Unlock Map
18	Defeat a strong enemy
19	Collect Item
20	Mysterious Treasure Chest
21	Safe Room
22	Unlock Map
23	Defeat a strong enemy
24	Collect Item
25	Mysterious Treasure Chest
26	Safe Room
27	Unlock Map
28	Defeat a strong enemy
29	Collect Item
30	Mysterious Treasure Chest
31	Safe Room
32	Unlock Map
33	Defeat a strong enemy
34	Collect Item
35	Mysterious Treasure Chest
36	Safe Room
37	Unlock Map
38	Defeat a strong enemy
39	Collect Item
