sn	name
1001	Cognition Crystal Set A
1002	Cognition Crystal Set B
1003	Cognition Crystal Set C
1004	Cognition Crystal Set D
1005	Cognition Crystal Set E
1006	Cognition Crystal Set F
1007	Platinum Set
1008	Platinum Set II
1009	Platinum Set III
1010	Milicoin Set
1011	Milicoin Set II
1012	Milicoin Set III
1013	Gold Set
1014	Monthly Platinum Set
1015	Monthly Milicoin Set
1016	Coffee Aid Set
1017	Newcomer Pass
1018	Marthym's Rewards Card
1019	Premium Phantom Pass
1020	Premium+ Phantom Pass
1021	Phantom Pass Upgrade
1022	Welcome Pass
1023	Ann Awakening Set
1024	Ryuji Awakening Set
1025	Morgana Awakening Set
1026	Yaoling Awakening Set
1027	Haruna Awakening Set
1028	Chapter 1 Clear Pass
1029	Chapter 2 Clear Pass
1030	Training Set
3001	Cognition Crystal Set A
3002	Cognition Crystal Set B
3003	Cognition Crystal Set C
3004	Cognition Crystal Set D
3005	Cognition Crystal Set E
3006	Cognition Crystal Set F
3007	Platinum Set
3008	Platinum Set II
3009	Platinum Set III
3010	Milicoin Set
3011	Milicoin Set II
3012	Milicoin Set III
3013	Gold Set
3014	Monthly Platinum Set
3015	Monthly Milicoin Set
3016	Coffee Aid Set
3017	Newcomer Pass
3018	Marthym's Rewards Card
3019	Premium Phantom Pass
3020	Premium+ Phantom Pass
3021	Phantom Pass Upgrade
3022	Welcome Pass
3023	Ann Awakening Set
3024	Ryuji Awakening Set
3025	Morgana Awakening Set
3026	Yaoling Awakening Set
3027	Haruna Awakening Set
3028	Chapter 1 Clear Pass
3029	Chapter 2 Clear Pass
3030	Training Set
4001	Cognition Crystal Set A
4002	Cognition Crystal Set B
4003	Cognition Crystal Set C
4004	Cognition Crystal Set D
4005	Cognition Crystal Set E
4006	Cognition Crystal Set F
4007	Platinum Set
4008	Platinum Set II
4009	Platinum Set III
4010	Milicoin Set
4011	Milicoin Set II
4012	Milicoin Set III
4013	Gold Set
4014	Monthly Platinum Set
4015	Monthly Milicoin Set
4016	Coffee Aid Set
4017	Newcomer Pass
4018	Marthym's Rewards Card
4019	Premium Phantom Pass
4020	Premium+ Phantom Pass
4021	Phantom Pass Upgrade
4022	Welcome Pass
4023	Ann Awakening Set
4024	Ryuji Awakening Set
4025	Morgana Awakening Set
4026	Yaoling Awakening Set
4027	Haruna Awakening Set
4028	Chapter 1 Clear Pass
4029	Chapter 2 Clear Pass
4030	Training Set
5001	Cognition Crystal Set A
5002	Cognition Crystal Set B
5003	Cognition Crystal Set C
5004	Cognition Crystal Set D
5005	Cognition Crystal Set E
5006	Cognition Crystal Set F
5007	Platinum Set
5008	Platinum Set II
5009	Platinum Set III
5010	Milicoin Set
5011	Milicoin Set II
5012	Milicoin Set III
5013	Gold Set
5014	Monthly Platinum Set
5015	Monthly Milicoin Set
5016	Coffee Aid Set
5017	Newcomer Pass
5018	Marthym's Rewards Card
5019	Premium Phantom Pass
5020	Premium+ Phantom Pass
5021	Phantom Pass Upgrade
5022	Welcome Pass
5023	Ann Awakening Set
5024	Ryuji Awakening Set
5025	Morgana Awakening Set
5026	Yaoling Awakening Set
5027	Haruna Awakening Set
5028	Chapter 1 Clear Pass
5029	Chapter 2 Clear Pass
5030	Training Set
