sn	name
1	Default
101	Default
102	Smiling
103	Surprised
104	Enraged
105	Sad
201	Default
202	Smiling
203	Surprised
204	Angry
205	Sad
206	Enraptured
301	Default
302	Smiling
303	Surprised
304	Sad
305	Angry
401	Default
402	Discontented
403	Surprised
601	Default
602	Smiling
603	Fear
604	Surprised
605	Guffawing
701	Default
702	Surprised
703	Enraged
704	Sad
705	Fear
2601	Default
2602	Laughing
2603	Surprised
2604	Sad
2605	Angry
2801	Default
2802	Smiling
2803	Sad
2901	Default
2902	Smiling
2903	Surprised
2904	Fear
2905	Sad
3001	Default
3002	Smiling
3003	Surprised
3004	Sad
3005	Drunk
3101	Default
3102	Enraged
3103	Sad
3201	Smiling
3202	Surprised
3203	Angry
3204	Sad
3205	Enraptured
3301	Default
3302	Smiling
3303	Surprised
3304	Sad
3305	Angry
3401	Default
3402	Smiling
3403	Surprised
3501	Default
3502	Smiling
3503	Sad
3504	Enraged
3505	Surprised
3601	Default
3602	Smiling
3603	Sad
3604	Enraged
3605	Surprised
3701	Default
3702	Smiling
3703	Surprised
3704	Sad
3705	Enraged
3801	Default
3802	Smiling
3803	Surprised
3804	Sad
3901	Default
3902	Smiling
3903	Enraged
3904	Sad
3905	Excited
4001	Default
4002	Angry
4003	Surprised
4004	Sad
4005	Smiling
4101	Default
4102	Smiling
4103	Sad
4104	Angry
4105	Surprised
4201	Default
4202	Smiling
4203	Sad
4204	Angry
4205	Surprised
4301	Default
4302	Smiling
4303	Surprised
4304	Sad
