sn	rankText
1	1★ C5
2	1★ C4
3	1★ C3
4	1★ C2
5	1★ C1
6	2★ C5
7	2★ C4
8	2★ C3
9	2★ C2
10	2★ C1
11	3★ C5
12	3★ C4
13	3★ C3
14	3★ C2
15	3★ C1
16	4★ C5
17	4★ C4
18	4★ C3
19	4★ C2
20	4★ C1
21	5★ C5
22	5★ C4
23	5★ C3
24	5★ C2
25	5★ C1
26	6★ C5
27	6★ C4
28	6★ C3
29	6★ C2
30	6★ C1
31	7★ C5
32	7★ C4
33	7★ C3
34	7★ C2
35	7★ C1
36	1★ C5
37	1★ C4
38	1★ C3
39	1★ C2
40	1★ C1
41	2★ C5
42	2★ C4
43	2★ C3
44	2★ C2
45	2★ C1
46	3★ C5
47	3★ C4
48	3★ C3
49	3★ C2
50	3★ C1
51	4★ C5
52	4★ C4
53	4★ C3
54	4★ C2
55	4★ C1
56	5★ C5
57	5★ C4
58	5★ C3
59	5★ C2
60	5★ C1
61	6★ C5
62	6★ C4
63	6★ C3
64	6★ C2
65	6★ C1
66	7★ C5
67	7★ C4
68	7★ C3
69	7★ C2
70	7★ C1
71	8★ C5
72	8★ C4
73	8★ C3
74	8★ C2
75	8★ C1
76	1★ C5
77	1★ C4
78	1★ C3
79	1★ C2
80	1★ C1
81	2★ C5
82	2★ C4
83	2★ C3
84	2★ C2
85	2★ C1
86	3★ C5
87	3★ C4
88	3★ C3
89	3★ C2
90	3★ C1
91	4★ C5
92	4★ C4
93	4★ C3
94	4★ C2
95	4★ C1
96	5★ C5
97	5★ C4
98	5★ C3
99	5★ C2
100	5★ C1
101	6★ C5
102	6★ C4
103	6★ C3
104	6★ C2
105	6★ C1
106	7★ C5
107	7★ C4
108	7★ C3
109	7★ C2
110	7★ C1
111	8★ C5
112	8★ C4
113	8★ C3
114	8★ C2
115	8★ C1
