sn	name	text
11	Wandering Shadow	Normal Shadows detected at this station.
12	Wandering Shadow	Normal Shadows detected at this station.
13	Wandering Shadow	Normal Shadows detected at this station.
21	Agitated Shadow	Tough Shadows detected at this station.
22	Agitated Shadow	Tough Shadows detected at this station.
23	Agitated Shadow	Tough Shadows detected at this station.
31	Savage Shadow	Extremely powerful Shadows detected at this station.
32	Savage Shadow	Extremely powerful Shadows detected at this station.
4	Stubborn Shadow	Terminal Station. Shadow of immense power detected.
41	Stubborn Shadow	Terminal Station. Shadow of immense power detected.
5	Fateful Departure	The first station when you start the Control Center.
7	Delusional Shadow	A station that stands at the crossroads of choice.
71	Delusional Shadow	A station that stands at the crossroads of choice.
72	Delusional Shadow	A station that stands at the crossroads of choice.
73	Delusional Shadow	A station that stands at the crossroads of choice.
74	Delusional Shadow	A station that stands at the crossroads of choice.
75	Delusional Shadow	A station that stands at the crossroads of choice.
76	Delusional Shadow	A station that stands at the crossroads of choice.
81	Heart's Oasis	Waiting room.
82	Showcase of Fortune	Marthym's shop available at this station.
9	Miraculous Lottery	Treasure Chest located at this station.
