sn	text
1	Place 1 or more <size=46><sprite=3 tint=1></size> thieves in your party
2	Place 1 or more <size=46><sprite=20 tint=1></size> thieves in your party
3	Place 1 or more <size=46><sprite=1 tint=1></size> thieves in your party
4	Place 1 or more <size=46><sprite=8 tint=1></size> thieves in your party
5	You can only place 1 <size=46><sprite=1 tint=1></size> thief in your party
6	You can only place 1 <size=46><sprite=3 tint=1></size> thief in your party
11	Place 2 or more <size=46><sprite=21 tint=1></size> attribute thieves in your party
12	Place 2 or more <size=46><sprite=9 tint=1></size> attribute thieves in your party
13	Place 2 or more <size=46><sprite=8 tint=1></size> attribute thieves in your party
14	Place 2 or more <size=46><sprite=14 tint=1></size> attribute thieves in your party
15	Place 2 or more <size=46><sprite=12 tint=1></size> attribute thieves in your party
16	Place 2 or more <size=46><sprite=20 tint=1></size> attribute thieves in your party
17	Place 2 or more <size=46><sprite=15 tint=1></size> attribute thieves in your party
18	Place 2 or more <size=46><sprite=10 tint=1></size> attribute thieves in your party
97	You cannot have two Phantom Thieves with the same role
98	No special party conditions
99	No special Persona conditions
