sn	modulename	rule
1	NB[Ru][1]	Error: tnxotb-[Rule_rule_1]
2	NB[Ru][2]	Error: tnxotb-[Rule_rule_2]
3	NB[Ru][3]	Error: tnxotb-[Rule_rule_3]
4	NB[Ru][4]	Error: tnxotb-[Rule_rule_4]
5	NB[Ru][5]	Error: tnxotb-[Rule_rule_5]
6	NB[Ru][6]	Error: tnxotb-[Rule_rule_6]
7	NB[Ru][7]	Error: tnxotb-[Rule_rule_7]
8	NB[Ru][8]	Error: tnxotb-[Rule_rule_8]
9	NB[Ru][9]	Error: tnxotb-[Rule_rule_9]
10	NB[Ru][10]	Error: tnxotb-[Rule_rule_10]
11	NB[Ru][11]	Error: tnxotb-[Rule_rule_11]
12	NB[Ru][12]	Error: tnxotb-[Rule_rule_12]
13	NB[Ru][13]	Error: tnxotb-[Rule_rule_13]
14	NB[Ru][14]	Error: tnxotb-[Rule_rule_14]
15	NB[Ru][15]	Error: tnxotb-[Rule_rule_15]
16	NB[Ru][16]	Error: tnxotb-[Rule_rule_16]
17	NB[Ru][17]	Error: tnxotb-[Rule_rule_17]
18	NB[Ru][18]	Error: tnxotb-[Rule_rule_18]
19	NB[Ru][19]	Error: tnxotb-[Rule_rule_19]
20	NB[Ru][20]	Error: tnxotb-[Rule_rule_20]
21	NB[Ru][21]	Error: tnxotb-[Rule_rule_21]
22	NB[Ru][22]	Error: tnxotb-[Rule_rule_22]
23	NB[Ru][23]	Error: tnxotb-[Rule_rule_23]
24	NB[Ru][24]	Error: tnxotb-[Rule_rule_24]
25	NB[Ru][25]	Error: tnxotb-[Rule_rule_25]
26	NB[Ru][26]	Error: tnxotb-[Rule_rule_26]
27	NB[Ru][27]	Error: tnxotb-[Rule_rule_27]
28	NB[Ru][28]	Error: tnxotb-[Rule_rule_28]
29	NB[Ru][29]	Error: tnxotb-[Rule_rule_29]
30	NB[Ru][30]	Error: tnxotb-[Rule_rule_30]
31	NB[Ru][31]	Error: tnxotb-[Rule_rule_31]
32	NB[Ru][32]	Error: tnxotb-[Rule_rule_32]
