sn	name	desc
1	Error: tnxotb-[Scene_name_1]	Error: tnxotb-[Scene_desc_1]
2	Error: tnxotb-[Scene_name_2]	Error: tnxotb-[Scene_desc_2]
4	Total Stage Action Scene	Total Stage Action Scene
5	Error: tnxotb-[Scene_name_5]	Error: tnxotb-[Scene_desc_5]
6	Error: tnxotb-[Scene_name_6]	Error: tnxotb-[Scene_desc_6]
8	Guild	Error: tnxotb-[Scene_desc_8]
9	Error: tnxotb-[Scene_name_9]	Error: tnxotb-[Scene_desc_9]
2105	Error: tnxotb-[Scene_name_2105]	Error: tnxotb-[Scene_desc_2105]
10	Yongen-Jaya	Yongen-Jaya
11	Yongen-Jaya	Leblanc
12	Yongen-Jaya	Clinic
13	Batting Cages	Batting Cages
14	Baseball Stadium	Baseball Stadium
15	Bathhouse	Bathhouse
16	Movie Theater	Yongen-Jaya Movie Theater
17	Theater Passageway	Yongen-Jaya Movie Theater Passageway
18	Yongen-Jaya	Yongen-Jaya
19	Yongen-Jaya (Night)	Yongen-Jaya
20	Yongen-Jaya (Night) (Story)	Yongen-Jaya
21	Shibuya	Airsoft Shop
22	Shibuya	Diner
23	Shibuya	Convenience Store
24	Shibuya	Beef Bowl Restaurant
25	Movie Theater	Movie Theater
26	Shibuya	Arcade
27	Shibuya	Burger Shop
28	Shibuya	Sports Gym
29	Shibuya	Underground Mall
30	Shibuya	Inogami Line
31	Theater Passageway	Shibuya Movie Theater Passageway
32	Shibuya	Drugstore
33	Shibuya	Beef Bowl Restaurant Breakroom
34	Shibuya	Bar
35	Office	Office
50	Shinjuku	Shinjuku
51	Bar	Shinjuku
52	Theater Passageway	Shinjuku Movie Theater
53	Movie Theater	Shinjuku Movie Theater Passageway
54	Victory Kitchen	Victory Kitchen
55	Bookstore	Shinjuku Bookstore
90	Inokashira Park	Inokashira Park
91	Inokashira Park	Inokashira Park
98	Companio	Companio Main Screen
99	Companio	Amusement Park
132	TV Station	TV Station
133	Hospital Room	Hospital Room
134	Hallway	Hospital Corridor
150	Sensoji Temple	Asakusa
151	Skytree	Asakusa
152	Used Bookstore	Jinbocho
153	Planetarium	Ikebukuro
154	Museum	Ueno
155	Church	Kanda
156	Amusement Park	Suidobashi
157	Takenoko Street	Harajuku
158	Ramen Shop	Ogikubo
159	Monjayaki Shop	Tsukishima
160	Aquarium	Shinagawa
161	Motomachi Chinatown	Yokohama
162	Skating Rink	Shin-Koiwa Edogawa Skating Rink
200	Ferris Wheel	Odaiba Seaside Park
163	Sushi Restaurant	Ginza
201	Odaiba Seaside Park	Odaiba Seaside Park
250	Fishing Pond	Ichigaya
251	Fishing Pond	Ichigaya
263	Kokatsu Academy	Smoking Area
264	Kokatsu Academy	Student Guidance Room
265	Kokatsu Academy	Faculty Room
266	Kokatsu Academy	Center Field
267	Kokatsu Academy	Center Field
268	Kokatsu Academy	Room 2-C
269	Kokatsu Academy	1F Hallway
271	Kokatsu Academy	2F Hallway
272	Kokatsu Academy	School Rooftop
273	Kokatsu Academy	School Gate
274	Kokatsu Academy	Gymnasium
275	Kokatsu Academy	Library
276	Kokatsu Academy	3F Hallway
277	Kokatsu Academy	Room 2-C
278	Kokatsu Academy	Band Club Room
279	Kokatsu Academy	School Gate
281	Zoshigaya	Zoshigaya
282	Heritage Kitchen	Heritage Kitchen
300	Kichijoji	Kichijoji
301	Billiards & Darts	Billiards & Darts
303	Shinmyoji	Shinmyoji
304	Jazz Club	Jazz Club
400	Akihabara	Akihabara
401	Arcade	Akihabara Arcade
402	Maid Café	Akihabara Maid Café
403	Concept Café	Akihabara Cosplay Café
501	Beach House	Shirosato Beach: Cooking Minigame
502	Pirate Shooting Game	Shirosato Beach: Shooting Minigame
503	Pirate Shooting Game	Shirosato Beach: Shooting Minigame
500	Shirosato Beach	Shirosato Beach
505	Shirosato Beach	Shirosato Beach
504	Shirosato Beach	Shirosato Beach
506	Shirosato Beach	Shirosato Beach
511	Shirosato Beach	Shirosato Beach
651	Power Plant Room	Power Plant Room
652	Dim Room	Dim Room
653	Dam Road	Dam Road
654	Studio	Studio
1000	Battle	Battle
1001	Old Castle 1F	AAAAAA==
1002	Old Castle 1F	AAAAAA==
1003	Old Castle 1F	AAAAAA==
1004	Old Castle 2F	Battle Area 1
1005	Old Castle 2F	Battle Area 2
1006	Old Castle 2F	Battle Area 2
1007	Old Castle Hallway	Old Castle Hallway
1008	Old Castle Kamoshida Boss	Kamoshida Boss
1009	Museum Exhibition Room	Museum
1010	Museum Treasure Hall	Museum
1011	Museum Madarame Boss	Madarame Boss
1012	Bank Lobby	Bank
1013	Bank Vault	Bank
1014	Bank Kaneshiro Boss	Kaneshiro Boss
1015	Yamashiro Boss Battle	Yamashiro Boss Battle
1016	The Velvet Trials	The Velvet Trials Battle Scene
1017	Material Dungeon	Battle Area 2
1018	Mementos	Path of Qimranut Battle Scene
1019	Castle	Castle
1020	Museum	Museum
1021	Bank	Bank
1022	Spaceport	Spaceport
1023	Mementos Boss	Path of Qimranut Area Change Boss Battle Scene
1024	Mementos	Mementos Battle Scene
1025	New Velvet Trials	New Velvet Trials Battle Scene
1026	Realm of Repression Battle Scene	Realm of Repression Battle Scene
1027	Mementos: Path of Aiyatsbus	Path of Aiyatsbus Battle Scene
1028	Realm of Repression Puzzle Battle Scene	Realm of Repression Puzzle Battle Scene
1029	Path of Qimranut Boss Battle Scene	Path of Qimranut Boss Battle Scene
1030	Path of Aiyatsbus Boss Battle Scene	Path of Aiyatsbus Boss Battle Scene
1031	Old Castle Parkour Dungeon Battle Scene	Old Castle Parkour Dungeon Battle Scene
1032	Path of Aiyatsbus Floor Change Boss Battle Scene	Path of Aiyatsbus Area Change Boss Battle Scene
1033	Path of Chemdah	Path of Chemdah Battle Scene
1034	Path of Chemdah Boss	Path of Chemdah Area Change Boss Battle Scene
1035	Revelation Dungeon 1	Red Scene
1036	Revelation Dungeon 2	Blue Scene
1037	Revelation Dungeon 3	Purple Scene
1038	Revelation Dungeon 4	White Scene
1039	Underground Prison Battle	Underground Prison 1
1040	Old Castle Interior Battle	Old Castle Hallway
1041	Central Tower Battle	Central Tower Battle
1042	Old Castle Top Floor Battle	Old Castle Top Floor Battle
1043	Ann Awakening Battle	Ann Awakening Battle
1044	Old Castle Kamoshida Boss	Kamoshida Boss
1045	Mementos Boss	Path of Qimranut Area Change Boss Battle Scene
1101	Yamashiro Garden	Yamashiro Garden
1201	Home Run Hallway	Home Base Hallway
1202	Motoha Awakening	Motoha Awakening
1203	Kiuchi Boss Battle	Kiuchi Boss Battle
1204	Club	Club
1205	Training Hall	Training Area
1301	Studio	Film Studio
1302	Third Bailey Battle Scene	Third Bailey Battle Scene
