sn	name	desc
1	Special Effect	Increase party's Physical damage by 20%.
2	Special Effect	Increase party's Gun damage by 20%.
3	Special Effect	Increase party's Fire damage by 20%.
4	Special Effect	Increase party's Ice damage by 20%.
5	Special Effect	Increase party's Electric damage by 20%.
6	Special Effect	Increase party's Wind damage by 20%.
7	Special Effect	Increase party's Psychokinesis damage by 20%.
8	Special Effect	Increase party's Nuclear damage by 20%.
9	Special Effect	Increase party's Bless damage by 20%.
10	Special Effect	Increase party's Curse damage by 20%.
11	Special Effect	Increase party's Almighty damage by 20%.
12	Special Effect	Increase party's <color=#FFFC40>critical damage</color> by 50%.
13	Special Effect	Increase <color=#FFFC40>Assassin</color> allies' damage by 20%.
14	Special Effect	Increase <color=#FFFC40>Sweeper</color> allies' damage by 20%.
15	Special Effect	Increase <color=#FFFC40>Medic</color> allies' damage by 20%.
16	Special Effect	Increase <color=#FFFC40>Guardian</color> allies' damage by 20%.
17	Special Effect	Increase <color=#FFFC40>Strategist</color> allies' damage by 20%.
18	Special Effect	Increase <color=#FFFC40>Saboteur</color> allies' damage by 20%.
21	Special Effect	Foes inflicted with Burn take 20% increased damage.
22	Special Effect	Foes inflicted with Freeze take 20% increased damage.
23	Special Effect	Foes inflicted with Shock take 20% increased damage.
24	Special Effect	Foes inflicted with Windswept take 20% increased damage.
25	Special Effect	Foes inflicted with elemental ailments take 20% increased damage.
31	Special Effect	All foes become weak to Physical.
32	Special Effect	All foes become weak to Gun.
33	Special Effect	All foes become weak to Fire.
34	Special Effect	All foes become weak to Ice.
35	Special Effect	All foes become weak to Electric.
36	Special Effect	All foes become weak to Wind.
37	Special Effect	All foes become weak to Psychokinesis.
38	Special Effect	All foes become weak to Nuclear.
39	Special Effect	All foes become weak to Blessing.
40	Special Effect	All foes become weak to Curse.
41	Special Effect	Increase damage of allies with Blessings by 25%.
42	Special Effect	<color=#FF423F>Shielded</color> allies deal 20% more damage.
43	Special Effect	Party's <color=#FFFC40>Highlight</color> damage is increased by 50%.
44	Special Effect	<color=#FFFC40>Wonder</color> deals 50% more <color=#FFFC40>final damage</color>. Other allies deal 80% less final damage.
45	Special Effect	Allies will not deal critical hits	 but will deal increased <color=#FFFC40>final damage</color> with skills and Resonance. The increase is equal to critical hit rate × (critical damage - 100%). (Max critical hit rate in this calculation is 100%).
46	Special Effect	<color=#FFFC40>Wonder</color> deals 50% more <color=#FFFC40>final damage</color>.
47	Special Effect	Other allies deal 80% less final damage.
48	Special Effect	If the party contains Guardians or Medics	 decrease all foes' final damage by 60% and increase final damage taken by 20%. If not	 increase all foes' final damage by 60%.
101	Special Effect	Decrease party's Physical damage by 20%.
102	Special Effect	Decrease party's Gun damage by 20%.
103	Special Effect	Decrease party's Fire damage by 20%.
104	Special Effect	Decrease party's Ice damage by 20%.
105	Special Effect	Decrease party's Electric damage by 20%.
106	Special Effect	Decrease party's Wind damage by 20%.
107	Special Effect	Decrease party's Psychokinesis damage by 20%.
108	Special Effect	Decrease party's Nuclear damage by 20%.
109	Special Effect	Decrease party's Bless damage by 20%.
110	Special Effect	Decrease party's Curse damage by 20%.
111	Special Effect	Decrease party's Almighty damage by 20%.
112	Special Effect	Decrease party's <color=#FFFC40>critical damage</color> by 50%.
113	Special Effect	Decrease <color=#FFFC40>Assassin</color> allies' damage by 20%.
114	Special Effect	Decrease <color=#FFFC40>Sweeper</color> allies' damage by 20%.
115	Special Effect	Decrease <color=#FFFC40>Medic</color> allies' damage by 20%.
116	Special Effect	Decrease <color=#FFFC40>Guardian</color> allies' damage by 20%.
117	Special Effect	Decrease <color=#FFFC40>Strategist</color> allies' damage by 20%.
118	Special Effect	Decrease <color=#FFFC40>Saboteur</color> allies' damage by 20%.
131	Special Effect	All foes' Physical affinity becomes Resist.
132	Special Effect	All foes' Gun affinity becomes Resist.
133	Special Effect	All foes' Fire affinity becomes Resist.
134	Special Effect	All foes' Ice affinity becomes Resist.
135	Special Effect	All foes' Electric affinity becomes Resist.
136	Special Effect	All foes' Wind affinity becomes Resist.
137	Special Effect	All foes' Psychokinesis affinity becomes Resist.
138	Special Effect	All foes' Nuclear affinity becomes Resist.
139	Special Effect	All foes' Bless affinity becomes Resist.
