sn	name	echobufftitle	echobuffdesc	tipsDesc
1	Physical	Concerto	Increase all allies' Physical skill damage by 5%.	Deals Physical damage through attacks.
2	Gun	Concerto	Increase all allies' Gun skill damage by 5%.	Deals Gun damage though attacks.
3	Fire	Concerto	Increase all allies' Fire skill damage by 5%.	Deals Fire damage through attacks.
4	Ice	Concerto	Increase all allies' Ice skill damage by 5%.	Deals Ice damage through attacks.
5	Electric	Concerto	Increase all allies' Electric skill damage by 5%.	Deals Electric damage through attacks.
6	Wind	Concerto	Increase all allies' Wind skill damage by 5%.	Deals Wind damage through attacks.
7	Psychokinesis	Concerto	Increase all allies' Psy skill damage by 5%.	Deals Psychokinesis damage through attacks.
8	Nuclear	Concerto	Increase all allies' Nuclear skill damage by 5%.	Deals Nuclear damage through attacks.
9	Bless	Concerto	Increase all allies' Bless skill damage by 5%.	Deals Bless damage through attacks.
10	Curse	Concerto	Increase all allies' Curse skill damage by 5%.	Deals Curse damage through attacks.
11	Almighty	Concerto	Increase all allies' Almighty skill damage by 5%.	Deals Almighty damage through attacks.
12	Recover	AAAAAA==	AAAAAA==	AAAAAA==
13	Support	AAAAAA==	AAAAAA==	Attacks do not inflict alignment damage.
14	Status Ailment	AAAAAA==	AAAAAA==	AAAAAA==
15	Passive	AAAAAA==	AAAAAA==	AAAAAA==
16	Wind/Ice	AAAAAA==	AAAAAA==	AAAAAA==
