sn	Txt
1	Additional Treasure Demon Reward
15	Additional Treasure Demon Reward
25	Additional Treasure Demon Reward
35	Additional Treasure Demon Reward
45	Additional Treasure Demon Reward
55	Additional Treasure Demon Reward
65	Additional Treasure Demon Reward
75	Additional Treasure Demon Reward
20	Additional Treasure Demon Reward
30	Additional Treasure Demon Reward
40	Additional Treasure Demon Reward
50	Additional Treasure Demon Reward
60	Additional Treasure Demon Reward
70	Additional Treasure Demon Reward
80	Additional Treasure Demon Reward
