sn	name	des
101	HP Up	Increase {1} by {0}.
102	Attack Up	Increase {1} by {0}.
103	Defense Up	Increase {1} by {0}.
201	Attack Up	Increase {1} by {0}.
202	Critical Rate Up	Increase {1} by {0}.
203	Critical Damage Up	Increase {1} by {0}.
301	HP Up	Increase {1} by {0}.
302	HP Recovery Up	Increase {1} by {0}.
303	Ailment Accuracy Up	Increase {1} by {0}.
401	Defense Up	Increase {1} by {0}.
402	Shield Effect Up	Increase{1} on self by {0}.
403	Ailment Resist Up	Increase {1} by {0}.
501	Enhance Persona	Increase level of the equipped Persona's base active skill by %s.
601	Enhance Learned Skills	Increase level of the equipped Persona's learned active skills by %s.
701	Enhance Thief Tactics	Increase effects of 1 More	 Highlight	 melee	 and long-range attacks.
801	tnxotb-[Talentskill_name_801]	tnxotb-[Talentskill_des_801]
