sn	textContent
1000003	%s
Account suspension ends in: %s
1000004	Too far.
1000005	This episode is not unlocked.
1000006	Stage locked.
1000007	Stage completed.
1000010	Network error. Please log in again.
(Error code: 1000010)
1000011	Failed to connect.
1000012	Attempts to reconnect %s/%s
1000016	Cognition Crystals: %s
Meta Jewels: %s
1000017	Recovers in: <color=#FFC000>%s</color>
1000018	Recovered %s stamina
Maximum stamina increased to %s
1000019	Get %s stamina
1000020	Money: ¥%s
1000021	Max stamina reached.
1000022	Time Left: %s d %s h
1000023	Time Left: %s h %s min
1000024	Time Left: %s min
1000025	Purchase Limit: %s
1000026	No MaraThon Energy.
1000027	Level %s
1000028	Resets after %s
1000029	Ends in %s
1000030	Get Now
1000031	Available every day from {1} AM for {0} days.
1000032	 %s d %s h
1000033	 %s h %s min
1000034	 %s min
1000037	Held: %d
1000038	%s d left to claim
1000039	Do you want to quit the game?
1000040	Valid until: %s/%s/%s	 %s:%s
1000041	Button Already Assigned
1000042	Restore Defaults
1000043	This button has already been assigned to another action. Change settings?
1000044	Do you want to restore the default controls? (This resets all control settings.)
1000045	Enhancement Tips
1000046	Data size: %
1000047	City Life
1000048	Stage
1000049	All
1000050	Baseball
1000051	Fishing
1000052	Download Paused
1000053	Downloading...
1000055	No downloadable content available.
1000056	Downloading
1000057	Quantity
1000058	: Phantom Thief Test cannot be charged on PC
1000059	: Phantom Thief Test cannot be directly charged on iOS
1000060	Can be charged from the official Persona5: The Phantom X website.
1000061	AAAAAA==
1000062	* 
1000063	Claim Supplies
1000064	%s day(s) remaining
1000065	Unlocks at level %s.
1000066	Free
1000067	Do you want to order %s?
1000068	Hm? Nothing to worry about	 right?
1000069	This one catch your eye?
1000070	Make sure you haven't gotten anything mixed up now!
1000071	For more details	 visit the official Persona5: The Phantom X website.
1000072	AAAAAA==
1000073	Get Miyu Sahara now
1000074	Day 2: Get Miyu Sahara's 4★ weapon
1000075	Day 3: Get Pink Mokokuma Pajamas
1000076	Claim Tomorrow
1000077	Claimable
1000078	All
1000079	 %s d
1000080	First
1000081	Additional Present
1000082	Usable after %s/%s/%s	 %s:%s
1000083	The following has been used.
1000084	Expired.
1000085	Failed to load settings. Please restart the game.
1000086	Failed to load version. Please restart the game.
1000087	Error loading settings.
1000088	Purchase to obtain
1000089	Log in for 2 days to obtain
1000090	Log in for 3 days to obtain
1000091	Log in for 4 days to obtain
1000092	Log in for 5 days to obtain
1000093	Log in for 6 days to obtain
1000094	Log in for 7 days to obtain
1000095	Item has expired.
1000096	The game version is outdated. Please update and restart the game.
1000097	The game version is outdated. Please download the latest version.
1000098	This week is no longer viewable. Go to the shop to purchase.
1000100	Get Now: Miyu Sahara and 3 Platinum Tickets
1000101	Day 2: Get Miyu Sahara training materials
1000102	Day 3: Get Miyu Sahara training materials
1000103	Day 4: Get Miyu Sahara-only Gold Revelation Cards
1000104	Get Now: Miyu Sahara and 5 Platinum Tickets
1000105	Day 2: Get Miyu Sahara training materials
1000106	Day 3: Get Coffee Aid x3
1000107	Day 4: Get Miyu Sahara training materials
1000108	Day 5: Get MaraThon Energy x3
1000109	Day 6: Get Sun Crystal x30
1000110	Day 7: Get a Miyu Sahara-only Gold Space Revelation Card
1000111	Purchase limit: 
1000112	Jackpot! You done snagged all the good ones.
What's next	 sugar?
Keep at it or reset?
1000113	I ought to thank ya for goin' all out!
Those items'll be replenished in a jiffy.
1000114	Get spiritual bells from request rewards and past appreciation event rewards	 or when you purchase <link="mqm"><u>%s</u></link>.
1000115	Get Now: a 10-draw Contract with a 4★ Phantom Thief of your choice
1000116	Day 2: Get a selected 4★ weapon
1000117	Day 3: Get a set of Gold Power Revelation Cards
1000118	Tell ya what	 sweet pea—I'll toss in a li'l somethin' extra	
no matter which you buy!
1000120	 %s h %s min
1000121	 %s h
1000122	 %s min
1000124	What's that pumpkin? You wanna swap somethin'?
1000125	Battle
1011001	Turn start.
1011002	Recover %s Action Points for City Life activities at 8 PM UTC daily.
1011003	Account deletion has been canceled because you logged in during the grace period. Have fun!
1012000	Turn end.
1012001	Start Navigation
1012002	%s (%s/%s)
1012003	Get
1012004	Cleared
1012501	Rank Goals (%s/%s)
1013000	End Navigation
1014001	New messages: %s
1014002	Not a Companio member.
1014003	Tap the bottom left and select a contact
to start a private chat.
1014004	Tap to enter text.
1014005	Too many messages. Please wait %s seconds.
1014006	Invalid room number.
1014007	Room full.
1014008	Not found.
1014009	Entered room %s (Players: %s).
1014010	You are already in the room.
1014011	No messages.
1014012	No friends.
1014013	Not found.
1014014	No other members in Companio.
1014015	Please join the Companio first.
1014016	Select content to send.
1014017	No content available.
1014018	%s d ago
1014020	You are now friends. Say hello!
1014021	Channel opened. Say something to get things rolling!
1014022	Like
1014023	Copy
1014024	Report
1014025	Report Violation
1014026	The first badge will be displayed.
1014027	Report Violation
1014028	Player
1014029	Report Category
1014030	Details
1014031	Message
1014032	50 characters max.
1014033	Block
1014034	No blocked players.
1014035	Blocked: 
1014036	Like
1014037	Liked
1014038	You cooperated with <color=#FFC000>%s</color>. Send a friend request?
1015001	Unlocked at Synergy Rank %s with %s
1015003	Unlock Hidden Ability %s
1015004	Next Hidden Ability: Wonder Lv. %s
1015005	Awareness
1015006	Level Up Materials
1015007	Level Up
1015008	Hidden Ability Materials
1015009	Unlock
1015010	Awareness Materials
1015011	Awakening
1015012	Level Up
1015013	Personas
1015014	Basic Abilities
1015015	Effects
1015016	Melee Attack
