sn	name
wonder	Error: tnxotb-[ThiefBattleSound_name_wonder]
wonder_thief_swimsuit	Error: tnxotb-[ThiefBattleSound_name_wonder_thief_swimsuit]
joker	Error: tnxotb-[ThiefBattleSound_name_joker]
skull	Error: tnxotb-[ThiefBattleSound_name_skull]
mona	Error: tnxotb-[ThiefBattleSound_name_mona]
fox	Error: tnxotb-[ThiefBattleSound_name_fox]
navi	Error: tnxotb-[ThiefBattleSound_name_navi]
panther	Error: tnxotb-[ThiefBattleSound_name_panther]
queen	Error: tnxotb-[ThiefBattleSound_name_queen]
noir	Error: tnxotb-[ThiefBattleSound_name_noir]
crow	Error: tnxotb-[ThiefBattleSound_name_crow]
tembin	Error: tnxotb-[ThiefBattleSound_name_tembin]
comte	Error: tnxotb-[ThiefBattleSound_name_comte]
cattle	Error: tnxotb-[ThiefBattleSound_name_cattle]
closer	Error: tnxotb-[ThiefBattleSound_name_closer]
closer_thief_swimsuit	Error: tnxotb-[ThiefBattleSound_name_closer_thief_swimsuit]
frost	Error: tnxotb-[ThiefBattleSound_name_frost]
frost_manwu_thief	Error: tnxotb-[ThiefBattleSound_name_frost_manwu_thief]
leo	Error: tnxotb-[ThiefBattleSound_name_leo]
tirara	Error: tnxotb-[ThiefBattleSound_name_tirara]
soy	Error: tnxotb-[ThiefBattleSound_name_soy]
kotomo	Error: tnxotb-[ThiefBattleSound_name_kotomo]
kotomo_thief_swimsuit	Error: tnxotb-[ThiefBattleSound_name_kotomo_thief_swimsuit]
kii	Error: tnxotb-[ThiefBattleSound_name_kii]
okyann	Error: tnxotb-[ThiefBattleSound_name_okyann]
why	Error: tnxotb-[ThiefBattleSound_name_why]
sumitosi	Error: tnxotb-[ThiefBattleSound_name_sumitosi]
umi	Error: tnxotb-[ThiefBattleSound_name_umi]
marian	Error: tnxotb-[ThiefBattleSound_name_marian]
dorothy	Chizuko Nagao
phoebe	Error: tnxotb-[ThiefBattleSound_name_phoebe]
chord	Error: tnxotb-[ThiefBattleSound_name_chord]
wind	Error: tnxotb-[ThiefBattleSound_name_wind]
doctor	Error: tnxotb-[ThiefBattleSound_name_doctor]
cherish	Error: tnxotb-[ThiefBattleSound_name_cherish]
