sn	name
1041	Lufel
1031	Motoha Arai
1061	Shun Kano
1011	Ryuji Sakamoto
1021	Morgana
1161	Yusuke Kitagawa
1171	Futaba Sakura
1191	Ann Takamaki
1201	Makoto Niijima
1251	Haru Okumura
1131	Yukimi Fujikawa
1141	Seiji Shiratori
1151	Goro Akechi
1211	Kotone Montagne
1212	Slow Dance Kotone Montagne
1261	Joker
1071	Leo Kamiyama
1081	Kayo Tomiyama
1091	Yaoling Li
1101	Tomoko Noge
1121	Kiyoshi Kurotani
1271	Miyu Sahara
1281	Haruna Nishimori
1181	Toshiya Sumi
1231	Minami Miyashita
1301	Chizuko Nagao
1311	Yumi Shiina
1032	Summer Motoha Arai
1051	Riko Tanemura
1102	Summer Tomoko Noge
1321	Ayaka Sakai
1291	Kira Kitazato
1331	Masaki Ashiya
