sn	title
101	Guarding
102	Weaknesses and 1 More
103	Highlight
104	Turn Order
105	Firing Guns
106	Attribute Affinities
107	Down Points
108	All-Out Attacks
109	Support Skills
110	Changing Personas
201	Shadows
202	Taking Cover
203	Safe Room
204	Third Eye
205	Using the Grappling Hook
206	Agitated Shadow
207	Train Tickets
208	Fare Machines
209	Search Objects
210	Treasure Demons
212	Realm of Repression
214	Relativity's Labyrinth
217	Treasure Chest
218	Collectibles
219	Depraved Shadow
220	Chamber of Recollections
221	Recollections
222	Whirlwinds
223	New Areas
224	Cameras
225	Camera Modules
226	Zoom Cameras
227	Chroma Key Cameras
228	Timeline Cameras
229	Torches
230	Chroma Key Torches
231	Spider Switches
232	Chained Treasure Chests
233	Rusty Drums
234	Timid Shadows
235	Breakable Walls
236	Updrafts
237	Fleeing Shadows
238	Chained Doors
239	Reservoir Room
241	Cursed Doors
242	Automatic Doors
243	Spike Traps
244	Breakable Doors
245	Arrow Traps
246	Chroma Key Walls
247	Track Switches
248	Wooden Barriers
249	Control Panels
250	Jamming Devices
251	Locked Treasure Chests
252	New Paths in Mementos
253	Types of Fog
254	Fog Doors
255	Misers
256	Cluster Whirlwinds
270	Energy Collector
271	Operating the Energy Collector
272	Energy Capacity
273	Thermal Energy and Energy Transmission
274	Kinetic Energy
275	Energy Absorption 1
276	Robots
277	Breakable Glass
278	Using Robots' Energy
279	Transferring Energy
280	Flying Robots
281	Energy Conduction Pole
282	Energy Absorption 2
283	Electric Barrier Door
284	Controlling Robots
285	Twisted Passage
286	Mental Energy
287	Control Room Monitors
288	Mind Control
289	Mental Interference Lamp
290	Mental Interference Device
291	Mind Robots
301	Marking Destinations
302	Contracts
303	Camera Settings
310	Synergy
321	Workbench
322	City Life
323	Cooking
324	Plants
325	Arms Deals
326	Closet
327	Clinic
398	Fishing
399	Batting Cages
400	Soccer Team
401	Band Club
450	Capsule Machine
451	Display Case
452	Music Player
471	Café Leblanc
501	Phantom Thieves
502	Phantom Thief Training
503	Phantom Thief Weapons
504	Phantom Thief Revelations
505	Phantom Thief Skills
506	Phantom Thief Schema
507	Phantom Thief Persona Switching
508	Revelation Card Forging
509	Revelation Card Customization
551	Persona
552	Persona Training
556	Persona Compendium
557	Persona Fusion
558	Teaching Personas Skills
601	The Velvet Trials
602	Trials from the Sea of Souls
603	Metro of Desire: How to Play
604	Metro of Desire: Events
605	Nightmare's Gateway
606	Crossroads of Fate
607	Metro of Desire: Charms
608	Metro of Desire: Lost Items
609	Metro of Desire: Resupplying
610	Metro of Desire: Treasure Chests
611	Sinners of Vanity and Gluttony: Stamina Mode
612	Dispatch Request
613	Thief Tryout
614	Trial of Thorns
615	Trial of Thorns: Fixed Difficulty
616	Trial of Thorns: Custom Difficulty
617	Trial of the Astrolabe
701	Party: Phantom Thieves
702	Party: Personas
801	Ring Sequence
802	Hidden Room Doors
803	Ring Mechanisms
804	Treasure Chest Guards
805	Cameras
806	Camera Modules
807	Chroma Key Cameras
808	Surveillance Cameras
809	Interval Cameras
810	Security Level
900	Tycoon
901	Basic Rules
902	Score Ranking
903	Playing Cards
904	Exchanging Cards
905	3-Spade Reversal
906	Revolution
908	8 Stop
909	Joker
910	Wonder
911	Bankrupt
999	Wheel Menu
1001	Den Level
1002	Managing Visitors
1003	Effects
1004	Collectibles: Thieves Den
