sn	rankShow
1	Ranking: #1-#10
2	Ranking: #11-#50
3	Ranking: #51-#100
4	Ranking: #101-#200
5	Ranking: #200 or lower
6	Ranking: #1-#10
7	Ranking: #11-#50
8	Ranking: #51-#100
9	Ranking: #101-#200
10	Ranking: #200 or lower
11	Ranking: #1-#10
12	Ranking: #11-#50
13	Ranking: #51-#100
14	Ranking: #101-#200
15	Ranking: #200 or lower
16	Ranking: #1-#10
17	Ranking: #11-#50
18	Ranking: #51-#100
19	Ranking: #101-#200
20	Ranking: #200 or lower
21	Ranking: #1-#10
22	Ranking: #11-#50
23	Ranking: #51-#100
24	Ranking: #101-#200
25	Ranking: #200 or lower
26	Ranking: #1-#10
27	Ranking: #11-#50
28	Ranking: #51-#100
29	Ranking: #101-#200
30	Ranking: #200 or lower
