sn	typeName	thiefName
1	Stick	Ryuji
2	Cutlass	Morgana
3	Swinging Hammer	Motoha
4	Tonfa	Lufel
5	Parasol	Riko
6	Axe	Shun
7	Lance	Kamiyama
8	Flip Phone	Tomiyama
9	Staff	Yaoling
10	Dual Blades	Tomoko
11	Twin Disc	AAAAAA==
12	Faustmesser	Kurotani
13	Iron Flail	Yukimi
14	Rapier	Shiratori
15	Light Sword	Akechi
16	Tachi	Yusuke
17	Computer	Futaba
18	Cane	Sumi
19	Whip	Ann
20	Fists	Makoto
21	Saber	Kotone
23	Medkit	Minami
25	Axe	Haru
26	Short Blade	Ren
27	Propeller	Miyu
28	Pickaxe	Haruna
29	Twinblade	Kitazato
30	Bayonet	Chizuko
31	Dancing Cane	Yumi
32	Guitar Axe	Ayaka
33	AAAAAA==	Ashiya
34	Runa	Runa
35	Kasumi	Kasumi
36	Mayumi	Mayumi
999	Dagger	Wonder
