sn	missionDesc
1	Move the king to the goal
10	Collect all gold coins
11	Collect 1 gold coin
12	Collect 2 gold coins
13	Collect 3 gold coins
14	Collect 4 gold coins
15	Collect 5 gold coins
20	Defeat all Berserk Bots
22	Defeat 2 Berserk Bots
23	Defeat 3 Berserk Bots
24	Defeat 4 Berserk Bots
30	Defeat all Berserk Bots and collect all gold coins
110	Reach the goal within 10 turns
111	Reach the goal within 11 turns
112	Reach the goal within 12 turns
113	Reach the goal within 13 turns
114	Reach the goal within 14 turns
115	Reach the goal within 15 turns
116	Reach the goal within 16 turns
117	Reach the goal within 17 turns
118	Reach the goal within 18 turns
119	Reach the goal within 19 turns
120	Reach the goal within 20 turns
121	Reach the goal within 21 turns
122	Reach the goal within 22 turns
123	Reach the goal within 23 turns
124	Reach the goal within 24 turns
125	Reach the goal within 25 turns
126	Reach the goal within 26 turns
127	Reach the goal within 27 turns
128	Reach the goal within 28 turns
129	Reach the goal within 29 turns
130	Reach the goal within 30 turns
131	Reach the goal within 31 turns
132	Reach the goal within 32 turns
133	Reach the goal within 33 turns
134	Reach the goal within 34 turns
135	Reach the goal within 35 turns
136	Reach the goal within 36 turns
137	Reach the goal within 37 turns
138	Reach the goal within 38 turns
139	Reach the goal within 39 turns
140	Reach the goal within 40 turns
30005	Do not destroy any Self-Destruct Bots
30007	Do not destroy any Self-Destruct Bots
30010	Do not destroy all the Combat Drones
